"","subj_idx","rt","response","Affil","rt_log"
"1",2884955,2.146,"Outgroup Better","Republican",0.763605644208507
"2",2884955,3.837,"Ingroup Better","Republican",1.34469081126482
"3",2884955,2.341,"Outgroup Better","Republican",0.850578188508774
"4",2884955,2.248,"Ingroup Better","Republican",0.810040932031445
"5",2884955,2.411,"Ingroup Better","Republican",0.880041599199034
"6",2884955,2.838,"Ingroup Better","Republican",1.04309957873785
"7",2884955,2.263,"Outgroup Better","Republican",0.8166913666514
"8",2884955,0.398,"Ingroup Better","Republican",-0.921303273697699
"9",2884955,0.557,"Outgroup Better","Republican",-0.585190039054853
"10",2884955,2.321,"Ingroup Better","Republican",0.8419981272923
"11",2884955,2.122,"Ingroup Better","Republican",0.752359040191791
"12",2884955,4.204,"Ingroup Better","Republican",1.4360364530147
"13",2884955,0.405,"Ingroup Better","Republican",-0.903868211875598
"14",2884955,4,"Ingroup Better","Republican",1.38629436111989
"15",2884955,2.31,"Outgroup Better","Republican",0.837247524533702
"16",2884955,0.662,"Ingroup Better","Republican",-0.412489723045129
"17",2884955,3.483,"Outgroup Better","Republican",1.24789399138386
"18",2884955,0.74,"Ingroup Better","Republican",-0.301105092783922
"19",2884955,0.721,"Ingroup Better","Republican",-0.327116141697188
"20",2884955,2.673,"Ingroup Better","Republican",0.983201437156782
"21",2884955,2.413,"Outgroup Better","Republican",0.880870786642895
"22",2884955,3.711,"Outgroup Better","Republican",1.31130138207846
"23",2884955,1.804,"Outgroup Better","Republican",0.590006421640432
"24",2884955,5.394,"Outgroup Better","Republican",1.68528722471754
"25",2884955,2.416,"Ingroup Better","Republican",0.882113280072569
"26",2884955,1.01,"Ingroup Better","Republican",0.00995033085316809
"27",2884955,3.178,"Ingroup Better","Republican",1.15625206811452
"28",2884955,0.841,"Ingroup Better","Republican",-0.173163619009189
"29",2884955,0.378,"Ingroup Better","Republican",-0.972861083362549
"30",2884955,2.111,"Ingroup Better","Republican",0.747161768866184
"31",2884955,3.764,"Ingroup Better","Republican",1.32548222172313
"32",2884955,0.207,"Outgroup Better","Republican",-1.57503648571677
"33",2884955,3.847,"Ingroup Better","Republican",1.34729362377016
"34",2884955,0.842,"Outgroup Better","Republican",-0.17197526473981
"35",2884955,3.556,"Outgroup Better","Republican",1.26863631765166
"36",2884955,0.906,"Ingroup Better","Republican",-0.0987159729391577
"37",2884955,1.332,"Ingroup Better","Republican",0.286681572118197
"38",2884955,1.971,"Outgroup Better","Republican",0.678541028170583
"39",2884955,2.321,"Ingroup Better","Republican",0.8419981272923
"40",2884955,0.795,"Outgroup Better","Republican",-0.229413164327805
"41",2884955,1.005,"Outgroup Better","Republican",0.00498754151103897
"42",2884955,4.962,"Outgroup Better","Republican",1.60180888526961
"43",2884955,4.031,"Ingroup Better","Republican",1.39401448413503
"44",2884955,2.175,"Ingroup Better","Republican",0.777028664540647
"45",2884955,1.139,"Outgroup Better","Republican",0.130150684465045
"46",2884955,2.112,"Outgroup Better","Republican",0.747635365844015
"47",2884955,1.306,"Ingroup Better","Republican",0.266969030854239
"48",2884955,3.532,"Outgroup Better","Republican",1.26186428274171
"49",2884955,2.374,"Ingroup Better","Republican",0.864576296187476
"50",2884955,2.176,"Outgroup Better","Republican",0.777488328993696
"51",2884955,5.38,"Ingroup Better","Republican",1.68268837417369
"52",2884955,0.565,"Ingroup Better","Republican",-0.570929547835696
"53",2884955,1.121,"Ingroup Better","Republican",0.114221144090023
"54",2884955,2.733,"Outgroup Better","Republican",1.00539990694593
"55",2884955,2.011,"Ingroup Better","Republican",0.698632110790515
"56",2884955,2.214,"Ingroup Better","Republican",0.794800834286445
"57",2884955,0.471,"Outgroup Better","Republican",-0.752897184965719
"58",2884955,2.655,"Outgroup Better","Republican",0.976444654693902
"59",2884955,0.826,"Ingroup Better","Republican",-0.191160505461159
"60",2884955,0.245,"Ingroup Better","Republican",-1.40649706843741
"61",2884955,2.261,"Ingroup Better","Republican",0.815807193295833
"62",2884955,5.396,"Outgroup Better","Republican",1.68565793834551
"63",2884955,2.134,"Outgroup Better","Republican",0.757998152879562
"64",2884955,2.554,"Outgroup Better","Republican",0.937660757610348
"65",2884955,2.36,"Outgroup Better","Republican",0.858661619037519
"66",2884955,2.228,"Outgroup Better","Republican",0.801104322065038
"67",2884955,3.859,"Ingroup Better","Republican",1.35040808255548
"68",2884955,2.19,"Outgroup Better","Republican",0.783901543828409
"69",2884955,3.778,"Ingroup Better","Republican",1.32919476907932
"70",2884955,3.65,"Outgroup Better","Republican",1.2947271675944
"71",2884955,2.074,"Ingroup Better","Republican",0.729479109807336
"72",2884955,3.804,"Ingroup Better","Republican",1.33605314468314
"73",2884955,2.379,"Outgroup Better","Republican",0.866680231320821
"74",2884955,2.221,"Ingroup Better","Republican",0.79795754491229
"75",2884955,1.33,"Outgroup Better","Republican",0.285178942233662
"76",2884955,2.551,"Ingroup Better","Republican",0.936485439159674
"77",2884955,0.588,"Ingroup Better","Republican",-0.53102833108351
"78",2884955,3.494,"Ingroup Better","Republican",1.25104721171186
"79",2884955,2.289,"Ingroup Better","Republican",0.82811504097043
"80",2884955,5.385,"Ingroup Better","Republican",1.68361731060835
"81",3964964,0.135,"Outgroup Better","Republican",-2.00248050054371
"82",3964964,0.039,"Ingroup Better","Republican",-3.24419363285249
"83",3964964,1.208,"Ingroup Better","Republican",0.188966099512623
"84",3964964,0.104,"Ingroup Better","Republican",-2.26336437984076
"85",3964964,0.165,"Ingroup Better","Republican",-1.80180980508156
"86",3964964,0.084,"Outgroup Better","Republican",-2.47693848013882
"87",3964964,0.078,"Outgroup Better","Republican",-2.55104645229255
"88",3964964,0.074,"Outgroup Better","Republican",-2.60369018577797
"89",3964964,0.049,"Outgroup Better","Republican",-3.01593498087151
"90",3964964,0.694,"Outgroup Better","Republican",-0.365283318475333
"91",3964964,1.122,"Ingroup Better","Republican",0.115112807100505
"92",3964964,0.045,"Outgroup Better","Republican",-3.10109278921182
"93",3964964,0.253,"Ingroup Better","Republican",-1.37436579025462
"94",3964964,0.112,"Outgroup Better","Republican",-2.18925640768704
"95",3964964,0.24,"Outgroup Better","Republican",-1.42711635564015
"96",3964964,0.045,"Outgroup Better","Republican",-3.10109278921182
"97",3964964,1.71,"Outgroup Better","Republican",0.536493370514568
"98",3964964,0.253,"Outgroup Better","Republican",-1.37436579025462
"99",3964964,0.048,"Outgroup Better","Republican",-3.03655426807425
"100",3964964,0.16,"Outgroup Better","Republican",-1.83258146374831
"101",3964964,0.739,"Ingroup Better","Republican",-0.302457358033935
"102",3964964,0.099,"Ingroup Better","Republican",-2.31263542884755
"103",3964964,1.064,"Ingroup Better","Republican",0.0620353909194527
"104",3964964,2.02,"Outgroup Better","Republican",0.703097511413113
"105",3964964,0.157,"Outgroup Better","Republican",-1.85150947363383
"106",3964964,1.9,"Ingroup Better","Republican",0.641853886172395
"107",3964964,0.201,"Outgroup Better","Republican",-1.60445037092306
"108",3964964,0.046,"Ingroup Better","Republican",-3.07911388249304
"109",3964964,0.446,"Ingroup Better","Republican",-0.807436326962073
"110",3964964,0.719,"Ingroup Better","Republican",-0.32989392126109
"111",3964964,1.005,"Outgroup Better","Republican",0.00498754151103897
"112",3964964,0.225,"Ingroup Better","Republican",-1.49165487677772
"113",3964964,0.255,"Outgroup Better","Republican",-1.36649173382371
"114",3964964,0.772,"Ingroup Better","Republican",-0.258770728957361
"115",3964964,0.312,"Ingroup Better","Republican",-1.16475209117265
"116",3964964,0.048,"Outgroup Better","Republican",-3.03655426807425
"117",3964964,0.048,"Outgroup Better","Republican",-3.03655426807425
"118",3964964,0,"Outgroup Better","Republican",NA
"119",3964964,0.167,"Ingroup Better","Republican",-1.78976146656538
"120",3964964,0,"Ingroup Better","Republican",NA
"121",3964964,0.087,"Outgroup Better","Republican",-2.44184716032755
"122",3964964,0.181,"Ingroup Better","Republican",-1.70925824771631
"123",3964964,0.343,"Outgroup Better","Republican",-1.0700248318162
"124",3964964,0,"Outgroup Better","Republican",NA
"125",3964964,0.086,"Ingroup Better","Republican",-2.45340798272863
"126",3964964,0.918,"Ingroup Better","Republican",-0.0855578883616465
"127",3964964,0.165,"Ingroup Better","Republican",-1.80180980508156
"128",3964964,0.517,"Ingroup Better","Republican",-0.659712404473708
"129",3964964,0.033,"Ingroup Better","Republican",-3.41124771751566
"130",3964964,0,"Outgroup Better","Republican",NA
"131",3964964,0.064,"Ingroup Better","Republican",-2.74887219562247
"132",3964964,0.377,"Ingroup Better","Republican",-0.975510091534126
"133",3964964,0.326,"Outgroup Better","Republican",-1.12085789761543
"134",3964964,0.226,"Ingroup Better","Republican",-1.48722027970985
"135",3964964,0,"Outgroup Better","Republican",NA
"136",3964964,0.146,"Ingroup Better","Republican",-1.9241486572738
"137",3964964,0.079,"Ingroup Better","Republican",-2.53830742651512
"138",3964964,0.295,"Outgroup Better","Republican",-1.22077992264232
"139",3964964,0.052,"Ingroup Better","Republican",-2.95651156040071
"140",3964964,0.768,"Outgroup Better","Republican",-0.263965545834465
"141",3964964,0.891,"Ingroup Better","Republican",-0.115410851511328
"142",3964964,0.71,"Outgroup Better","Republican",-0.342490308946776
"143",3964964,0.087,"Ingroup Better","Republican",-2.44184716032755
"144",3964964,0,"Outgroup Better","Republican",NA
"145",3964964,0.232,"Ingroup Better","Republican",-1.46101790731583
"146",3964964,0.042,"Ingroup Better","Republican",-3.17008566069877
"147",3964964,0.041,"Ingroup Better","Republican",-3.19418321227783
"148",3964964,1.145,"Ingroup Better","Republican",0.135404637006203
"149",3964964,0.14,"Outgroup Better","Republican",-1.96611285637283
"150",3964964,0,"Ingroup Better","Republican",NA
"151",3964964,0.004,"Outgroup Better","Republican",-5.52146091786225
"152",3964964,0.155,"Ingroup Better","Republican",-1.86433016206289
"153",3964964,0.098,"Outgroup Better","Republican",-2.32278780031156
"154",3964964,0.024,"Ingroup Better","Republican",-3.72970144863419
"155",3964964,0.043,"Ingroup Better","Republican",-3.14655516328857
"156",3964964,0.277,"Outgroup Better","Republican",-1.2837377727948
"157",3964964,0.67,"Ingroup Better","Republican",-0.400477566597125
"158",3964964,0.13,"Ingroup Better","Republican",-2.04022082852655
"159",3964964,1.337,"Outgroup Better","Republican",0.290428298119806
"160",3964964,0,"Ingroup Better","Republican",NA
"161",12919430,1.931,"Outgroup Better","Republican",0.658038003446377
"162",12919430,2.469,"Outgroup Better","Republican",0.903813210363042
"163",12919430,4.952,"Outgroup Better","Republican",1.59979153538229
"164",12919430,3.554,"Ingroup Better","Republican",1.26807372973246
"165",12919430,0.987,"Outgroup Better","Republican",-0.0130852395486555
"166",12919430,6.118,"Outgroup Better","Republican",1.81123524572871
"167",12919430,5.747,"Ingroup Better","Republican",1.7486779795256
"168",12919430,2.314,"Ingroup Better","Republican",0.838977628771485
"169",12919430,1.003,"Ingroup Better","Republican",0.00299550897979837
"170",12919430,6.849,"Outgroup Better","Republican",1.92410265621577
"171",12919430,9.43,"Ingroup Better","Republican",2.24389609664537
"172",12919430,3.29,"Outgroup Better","Republican",1.19088756477728
"173",12919430,1.647,"Outgroup Better","Republican",0.498955451195503
"174",12919430,3.738,"Ingroup Better","Republican",1.31855070903337
"175",12919430,11.609,"Ingroup Better","Republican",2.4517806593559
"176",12919430,6.885,"Ingroup Better","Republican",1.92934513218062
"177",12919430,6.887,"Outgroup Better","Republican",1.92963557656256
"178",12919430,1.014,"Outgroup Better","Republican",0.0139029051689914
"179",12919430,3.675,"Outgroup Better","Republican",1.3015531326648
"180",12919430,10.452,"Ingroup Better","Republican",2.34679334765837
"181",12919430,3.777,"Outgroup Better","Republican",1.32893004373032
"182",12919430,3.056,"Outgroup Better","Republican",1.11710687130427
"183",12919430,5.457,"Ingroup Better","Republican",1.69689918820409
"184",12919430,2.005,"Outgroup Better","Republican",0.695644060758532
"185",12919430,5.473,"Ingroup Better","Republican",1.69982691216178
"186",12919430,3.601,"Outgroup Better","Republican",1.28121158466674
"187",12919430,2.261,"Outgroup Better","Republican",0.815807193295833
"188",12919430,2.679,"Outgroup Better","Republican",0.985443590562472
"189",12919430,1.465,"Ingroup Better","Republican",0.381855242469031
"190",12919430,5.113,"Outgroup Better","Republican",1.63178631609786
"191",12919430,6.696,"Outgroup Better","Republican",1.90151033318717
"192",12919430,6.036,"Ingroup Better","Republican",1.7977415409056
"193",12919430,3.435,"Outgroup Better","Republican",1.23401692567431
"194",12919430,4.997,"Ingroup Better","Republican",1.60883773236207
"195",12919430,6.342,"Ingroup Better","Republican",1.84719417611616
"196",12919430,11.502,"Outgroup Better","Republican",2.44252093329156
"197",12919430,2.69,"Ingroup Better","Republican",0.989541193613748
"198",12919430,5.714,"Outgroup Better","Republican",1.74291930380858
"199",12919430,6.903,"Ingroup Better","Republican",1.93195609972134
"200",12919430,6.758,"Ingroup Better","Republican",1.9107269882921
"201",12919430,3.976,"Ingroup Better","Republican",1.38027628879433
"202",12919430,0.919,"Outgroup Better","Republican",-0.08446915662645
"203",12919430,3.479,"Outgroup Better","Republican",1.24674489616981
"204",12919430,14.221,"Ingroup Better","Republican",2.65471974539056
"205",12919430,6.995,"Outgroup Better","Republican",1.94519560811744
"206",12919430,3.561,"Ingroup Better","Republican",1.27004140429564
"207",12919430,0.985,"Ingroup Better","Republican",-0.0151136378100482
"208",12919430,3.682,"Ingroup Better","Republican",1.30345608281089
"209",12919430,5.297,"Outgroup Better","Republican",1.66714062256239
"210",12919430,4.169,"Ingroup Better","Republican",1.42767619889866
"211",12919430,3.892,"Outgroup Better","Republican",1.35892316432376
"212",12919430,10.414,"Ingroup Better","Republican",2.34315105474071
"213",12919430,3.748,"Outgroup Better","Republican",1.32122236437618
"214",12919430,2.436,"Outgroup Better","Republican",0.890357349847651
"215",12919430,5.418,"Ingroup Better","Republican",1.6897267436629
"216",12919430,2.22,"Ingroup Better","Republican",0.797507195884188
"217",12919430,3.836,"Outgroup Better","Republican",1.34443015702119
"218",12919430,8.68,"Outgroup Better","Republican",2.16102152867226
"219",12919430,10.113,"Ingroup Better","Republican",2.31382172492003
"220",12919430,3.733,"Ingroup Better","Republican",1.31721219993245
"221",12919430,4.356,"Outgroup Better","Republican",1.47155420507071
"222",12919430,5.312,"Outgroup Better","Republican",1.66996841217413
"223",12919430,3.693,"Outgroup Better","Republican",1.30643913587043
"224",12919430,11.492,"Ingroup Better","Republican",2.44165114111704
"225",12919430,3.935,"Ingroup Better","Republican",1.36991088186937
"226",12919430,9.873,"Ingroup Better","Republican",2.28980375862931
"227",12919430,5.499,"Ingroup Better","Republican",1.70456625752568
"228",12919430,3.847,"Ingroup Better","Republican",1.34729362377016
"229",12919430,3.487,"Outgroup Better","Republican",1.24904176769351
"230",12919430,0.771,"Ingroup Better","Republican",-0.260066905418808
"231",12919430,7.368,"Ingroup Better","Republican",1.99714629895301
"232",12919430,5.079,"Outgroup Better","Republican",1.62511439181911
"233",12919430,0.78,"Ingroup Better","Republican",-0.2484613592985
"234",12919430,1.702,"Outgroup Better","Republican",0.531804030151182
"235",12919430,4.068,"Outgroup Better","Republican",1.40315147818631
"236",12919430,8.191,"Outgroup Better","Republican",2.10303599053347
"237",12919430,2.999,"Outgroup Better","Republican",1.09827889976687
"238",12919430,3.599,"Ingroup Better","Republican",1.28065602909689
"239",12919430,2.834,"Outgroup Better","Republican",1.04168914126849
"240",12919430,0.972,"Ingroup Better","Republican",-0.028399474521698
"321",34984274,1.293,"Outgroup Better","Republican",0.25696509978972
"322",34984274,3.015,"Outgroup Better","Republican",1.10359983017915
"323",34984274,4.889,"Outgroup Better","Republican",1.58698778359651
"324",34984274,1.698,"Outgroup Better","Republican",0.529451087889156
"325",34984274,0.641,"Ingroup Better","Republican",-0.444725822061467
"326",34984274,2.673,"Outgroup Better","Republican",0.983201437156782
"327",34984274,1.166,"Outgroup Better","Republican",0.153579087928301
"328",34984274,4.668,"Outgroup Better","Republican",1.54073071442431
"329",34984274,1.738,"Ingroup Better","Republican",0.5527350268432
"330",34984274,0.831,"Ingroup Better","Republican",-0.185125484126689
"331",34984274,1.831,"Outgroup Better","Republican",0.604862265692374
"332",34984274,3.296,"Ingroup Better","Republican",1.19270961204723
"333",34984274,4.286,"Ingroup Better","Republican",1.45535389705139
"334",34984274,0.722,"Ingroup Better","Republican",-0.325730140089311
"335",34984274,3.887,"Ingroup Better","Republican",1.35763765187009
"336",34984274,4.554,"Ingroup Better","Republican",1.51600596764155
"337",34984274,0.421,"Ingroup Better","Republican",-0.865122445299756
"338",34984274,3.188,"Ingroup Better","Republican",1.15939376092797
"339",34984274,3.027,"Ingroup Better","Republican",1.10757203003958
"340",34984274,1.081,"Outgroup Better","Republican",0.0778865386570712
"341",34984274,1.445,"Ingroup Better","Republican",0.368109321564396
"342",34984274,3.91,"Outgroup Better","Republican",1.36353737399727
"343",34984274,2.77,"Outgroup Better","Republican",1.01884732019925
"344",34984274,4.594,"Outgroup Better","Republican",1.52475110426691
"345",34984274,2.002,"Ingroup Better","Republican",0.694146680893029
"346",34984274,1.881,"Outgroup Better","Republican",0.631803550318893
"347",34984274,0.068,"Ingroup Better","Republican",-2.68824757380603
"348",34984274,3.309,"Ingroup Better","Republican",1.19664602893948
"349",34984274,5.742,"Outgroup Better","Republican",1.74780758169887
"350",34984274,2.326,"Ingroup Better","Republican",0.844150054096473
"351",34984274,1.718,"Outgroup Better","Republican",0.541160823562064
"352",34984274,3.545,"Ingroup Better","Republican",1.26553815998409
"353",34984274,2.485,"Ingroup Better","Republican",0.910272659548592
"354",34984274,2.222,"Outgroup Better","Republican",0.798407691217438
"355",34984274,0.618,"Ingroup Better","Republican",-0.481266821524446
"356",34984274,3.506,"Ingroup Better","Republican",1.25447578649904
"357",34984274,2.399,"Ingroup Better","Republican",0.875051983857558
"358",34984274,2.44,"Ingroup Better","Republican",0.89199803930511
"359",34984274,4.765,"Ingroup Better","Republican",1.56129753710617
"360",34984274,2.687,"Ingroup Better","Republican",0.988425329633354
"361",34984274,7.124,"Outgroup Better","Republican",1.96346936542742
"362",34984274,4.458,"Ingroup Better","Republican",1.49470023496368
"363",34984274,4.827,"Ingroup Better","Republican",1.57422515667836
"364",34984274,2.571,"Outgroup Better","Republican",0.944294928283752
"365",34984274,2.06,"Outgroup Better","Republican",0.72270598280149
"366",34984274,4.665,"Ingroup Better","Republican",1.54008783429931
"367",34984274,0.827,"Outgroup Better","Republican",-0.189950583958446
"368",34984274,0.979,"Outgroup Better","Republican",-0.0212236364516267
