date,time,group,subject,session,build,AGE_response,AGE_latency,Gender_response,Gender_latency,Ethnicity_response,Ethnicity_latency,Education_response,Education_latency,English_response,English_latency,PolAff1_response,PolAff1_latency,PolAff2_response,PolAff2_latency,NCS1_response,NCS1_latency,NCS2_response,NCS2_latency,NCS3_response,NCS3_latency,NCS4_response,NCS4_latency,NCS5_response,NCS5_latency,NCS6_response,NCS6_latency,CRT1_response,CRT1_latency,CRT2_response,CRT2_latency,CRT3_response,CRT3_latency,BDM1_30_response,BDM1_30_latency,BDM2_50_response,BDM2_50_latency,BDM3_70_response,BDM3_70_latency,BDM4_80_response,BDM4_80_latency,BDM5_90_response,BDM5_90_latency,SCES1_S_response,SCES1_S_latency,SCES2_E_response,SCES2_E_latency,SCES3_S_response,SCES3_S_latency,SCES4_S_response,SCES4_S_latency,SCES5_E_response,SCES5_E_latency,SCES6_E_response,SCES6_E_latency,SCES7_S_response,SCES7_S_latency,SCES8_S_response,SCES8_S_latency,SCES9_E_response,SCES9_E_latency,SCES10_E_response,SCES10_E_latency,SCES11_S_response,SCES11_S_latency,SCES12_S_response,SCES12_S_latency,Last_1_response,Last_1_latency
8/10/21,13:17:39,1,REMOVED,1,6.4.2,22,11739,Female,11739,African-American,11739,High School,11739,Yes,11739,Very liberal,3631,Democrat,3631,1,22829,1,22829,7,22829,7,22829,1,22829,1,22829,10cents,38422,5minutes,38422,47,38422,5,50571,Doctor,50571,7,50571,20,50571,1in10,50571,100,24376,100,24376,0,24376,94,24376,100,24376,19,24376,0,24376,0,24376,65,24376,76,24376,66,24376,26,24376,,5383
8/10/21,13:14:38,4,REMOVED,1,6.4.2,28,10286,Male,10286,Caucasian,10286,High School,10286,Yes,10286,Very liberal,5063,Democrat,5063,5,14795,5,14795,3,14795,2,14795,5,14795,5,14795,10cents,46623,100minutes,46623,24days,46623,onetenthofonepercent,86108,idk,86108,64,86108,20,86108,1in10,86108,85,40044,4,40044,65,40044,4,40044,62,40044,27,40044,18,40044,17,40044,63,40044,60,40044,59,40044,59,40044,this took way too long ,7379
8/10/21,12:13:46,2,REMOVED,1,6.4.2,30,14224,Male,14224,Caucasian,14224,Bachelor's Degree,14224,Yes,14224,Very liberal,4143,Democrat,4143,7,21169,6,21169,1,21169,2,21169,7,21169,7,21169,5cents,68525,100minutes,68525,47,68525,point1percent,119046,atrisk,119046,64,119046,20,119046,1in10,119046,100,35518,15,35518,0,35518,27,35518,99,35518,50,35518,31,35518,7,35518,27,35518,7,35518,43,35518,0,35518,The fill in the blank questions after the test would not let me input spaces or decimal points. I tried to make my answers as clear as possible without them. ,31333
8/10/21,13:13:37,3,REMOVED,1,6.4.2,31,9057,Male,9057,Caucasian,9057,Bachelor's Degree,9057,Yes,9057,Very liberal,3163,Democrat,3163,3,37871,4,37871,3,37871,3,37871,3,37871,2,37871,10,66359,100,66359,47,66359,1,128055,person,128055,64,128055,20,128055,10,128055,100,680458,24,680458,33,680458,6,680458,80,680458,9,680458,50,680458,20,680458,29,680458,50,680458,25,680458,23,680458,,2555
8/10/21,10:29:44,3,REMOVED,1,6.4.2,31,11653,Male,11653,Asian,11653,Bachelor's Degree,11653,Yes,11653,Somewhat liberal,5074,Democrat,5074,7,37794,4,37794,2,37794,2,37794,6,37794,6,37794,10,33312,5,33312,47,33312,pointonepercent,302005,person,302005,64,302005,20,302005,1in10,302005,66,57721,46,57721,43,57721,22,57721,62,57721,46,57721,35,57721,34,57721,51,57721,64,57721,59,57721,47,57721,I wasn't allowed to uses spaces or the decimal pont (.) in answering the questions at the end.,36806
8/10/21,10:42:16,3,REMOVED,1,6.4.2,64,15101,Female,15101,Caucasian,15101,Associate's Degree,15101,Yes,15101,Very liberal,7402,Democrat,7402,4,33938,5,33938,2,33938,1,33938,6,33938,6,33938,10,48497,100,48497,12,48497,1,141102,Both,141102,64,141102,20,141102,1in10,141102,50,61877,76,61877,77,61877,18,61877,74,61877,17,61877,50,61877,50,61877,96,61877,75,61877,100,61877,19,61877,,4258
8/10/21,13:52:50,2,REMOVED,1,6.4.2,40,16255,Female,16255,Caucasian,16255,Master's Degree,16255,Yes,16255,Somewhat liberal,6892,Democrat,6892,5,50934,4,50934,1,50934,2,50934,6,50934,5,50934,5cents,124001,5minutes,124001,47days,124001,01percent,183445,atriskpopulation,183445,64percent,183445,20,183445,1in10,183445,50,72770,33,72770,49,72770,51,72770,70,72770,37,72770,50,72770,11,72770,64,72770,57,72770,69,72770,28,72770,,6563
8/10/21,10:52:24,4,REMOVED,1,6.4.2,31,11425,Female,11425,Caucasian,11425,Associate's Degree,11425,Yes,11425,Very liberal,8224,Democrat,8224,4,28144,5,28144,2,28144,2,28144,7,28144,5,28144,5,76344,5,76344,47,76344,point10,188102,person,188102,64,188102,20,188102,1in10,188102,73,78561,37,78561,36,78561,25,78561,71,78561,29,78561,15,78561,18,78561,39,78561,28,78561,70,78561,31,78561,,4740
8/10/21,14:31:52,3,REMOVED,1,6.4.2,25,9582,Male,9582,Caucasian,9582,Bachelor's Degree,9582,Yes,9582,Somewhat liberal,3390,Democrat,3390,3,21812,5,21812,2,21812,2,21812,7,21812,7,21812,0point10,53327,100,53327,47,53327,0point1,152594,Randomlyselectedperson,152594,64,152594,20,152594,1in10,152594,74,35472,57,35472,45,35472,61,35472,63,35472,53,35472,70,35472,35,35472,74,35472,64,35472,53,35472,55,35472,"None, thank you.",8873
8/10/21,11:42:24,4,REMOVED,1,6.4.2,24,25364,Male,25364,Caucasian,25364,Bachelor's Degree,25364,Yes,25364,Very liberal,4441,Democrat,4441,5,20710,6,20710,2,20710,2,20710,5,20710,5,20710,10cents,86917,5minutes,86917,24,86917,1,101100,Atriskpopulation,101100,64,101100,20,101100,1in10,101100,89,37684,5,37684,56,37684,0,37684,95,37684,38,37684,50,37684,18,37684,46,37684,19,37684,43,37684,58,37684,"During the math questions at the end, the answer boxes are insufficent. You can not type decimal points or spaces.",25093
8/10/21,11:40:53,1,REMOVED,1,6.4.2,28,12790,Female,12790,Asian,12790,High School,12790,Yes,12790,Very liberal,3605,Democrat,3605,2,28309,2,28309,1,28309,3,28309,3,28309,2,28309,10cents,78020,100minutes,78020,24days,78020,1,211684,person,211684,64,211684,20,211684,1in10,211684,100,45338,100,45338,27,45338,75,45338,100,45338,0,45338,1,45338,1,45338,51,45338,51,45338,47,45338,0,45338,,4878
8/10/21,15:02:03,2,REMOVED,1,6.4.2,37,13522,Female,13522,Caucasian,13522,Associate's Degree,13522,Yes,13522,Neither liberal nor conservative,10910,Democrat,10910,1,57576,4,57576,3,57576,4,57576,6,57576,5,57576,5cents,223434,20,223434,7,223434,10,164319,person,164319,64,164319,20,164319,1in10,164319,22,123523,50,123523,40,123523,67,123523,42,123523,24,123523,50,123523,50,123523,53,123523,50,123523,59,123523,45,123523,,13952
