,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,3.0363021935790204,0.20825495600262925,2.6497258617352717,2.8963121566001595,3.028832559528199,3.168125514282209,3.4706964623199292,0.004551319461359414
a_std,2.369847878577641,0.27019659103161237,1.763594526343762,2.2197917093561794,2.3804784423243044,2.5402488204710743,2.891151349233629,0.017145610349193322
a_subj.2884955,2.1906220401476544,0.17694670076712973,1.873343648716796,2.062519754845195,2.1804004779304176,2.3078842363339156,2.5608643043018877,0.003942648186354061
a_subj.3964964,1.2094504742044252,0.08320085909270938,1.0547377430895226,1.1515724814451376,1.2070896057355835,1.2635535232093396,1.3799387325005774,0.001608217207613566
a_subj.12919430,5.2138594566382395,0.44038773952215343,4.404654774766697,4.910326719354427,5.185299068425926,5.491096394578944,6.128863457251516,0.009069497630317452
a_subj.34984274,3.3630362366161304,0.19928120834519536,2.9823612765759684,3.2264512353151473,3.3562685733736664,3.491795135480331,3.7779821300960585,0.0029895987391655296
a_subj.41833230,2.989173889003052,0.21644183330968597,2.5856972340115356,2.843583874851327,2.981148097862282,3.129048784723703,3.4277954831329898,0.003958831221613493
a_subj.43020357,1.651780526879385,0.09896482127124973,1.465093848814937,1.5843893848606618,1.6488184937929131,1.7154140292722029,1.8517722849640104,0.001678931295425162
a_subj.48595352,4.668124071493061,0.44523331999520077,3.8621940167114417,4.356456748279427,4.64810729878129,4.956909804010596,5.602264876776839,0.01074116768148516
a_subj.48977487,1.8901262069163842,0.159596942257974,1.5790682983919755,1.7799382620056032,1.8898376656674205,1.9966330479036691,2.198689351302217,0.00313126595774743
a_subj.56470734,2.2835153726088326,0.2270754279585959,1.8928300351080691,2.1237930740909263,2.2656691142732592,2.425439659133553,2.7733612170306445,0.004565211351050003
a_subj.74263281,3.4647247700541497,0.23941090843080834,3.0262812507881063,3.2976739338846626,3.4544181930299382,3.6163508738752226,3.9826104391662005,0.004186152334993232
a_subj.75969320,1.4192917694922633,0.11775507053675988,1.200767881242976,1.3381375519072112,1.4150993139987509,1.4945603459482684,1.6664907483474027,0.0027124423772037515
a_subj.92774005,3.851054888260335,0.26845452324658314,3.3531710327048363,3.6685834195084697,3.8440380508333343,4.022521995676027,4.414332487210249,0.004917376121629612
a_subj.96226407,5.156215490420922,0.3601832352734145,4.487313226343797,4.905445928683551,5.138454133965929,5.388180853864198,5.8939023311216605,0.005313529863808392
a_subj.97123322,0.6785421189004536,0.04091284518575674,0.603016745870135,0.6497651491109525,0.6771972942915099,0.7043868958455173,0.7634456085966725,0.0007821561260488946
a_subj.100416772,5.165494413180226,0.36238652749514727,4.4953748860188405,4.9195224657478995,5.150850125303454,5.393159259780035,5.932012268045423,0.0050883449894503305
a_subj.102783161,1.1454624797653472,0.06828216516497755,1.0151370539259579,1.0986447264545238,1.1425428818594239,1.188891425297042,1.2899883263517078,0.0011304276230368092
a_subj.103303422,0.19578023375111528,0.6107792162753141,1.961945211362819e-08,2.2431955401267116e-08,2.414782621350342e-08,2.635296191402156e-08,2.2791389040919134,0.0603189983956701
a_subj.120939072,3.1824667155284976,0.23673816515397084,2.7215617519930393,3.0202824373994828,3.1831330248949854,3.3402857641681467,3.653039095192855,0.004287365480636679
a_subj.129490812,1.5431571034009168,0.1433972401429043,1.274355927289372,1.4467446553536611,1.5358144503441995,1.6351892414943419,1.8391421646311816,0.0029619468464799213
a_subj.130271607,0.6832816170764341,0.03942605094658885,0.6098773097155331,0.656909396593228,0.6813528917636937,0.7081026711264706,0.7655952637153703,0.0006573575050618363
a_subj.130941034,1.2587231294280499,0.09965212163788417,1.0760628066620577,1.1892679618792854,1.2532064277568664,1.322284319802141,1.4712048672948,0.002304190036770192
a_subj.134057190,4.235171758716338,0.29892928856663165,3.686677993260915,4.025783256032762,4.222628972724171,4.4299268017311455,4.851147850764498,0.00433287235468747
a_subj.147547787,1.155706228899636,0.08318536686632345,1.0095475565667202,1.0976628800234576,1.1497070653435064,1.2083949875344744,1.3381256182059538,0.0014804147460888515
a_subj.148334112,4.170304429887347,0.31142358578229484,3.594751376994717,3.955255523867382,4.15605238274518,4.372457807537649,4.830846366903353,0.006316193204590312
a_subj.176326342,1.6733430035654917,0.14622392044223614,1.4086659132163173,1.5701768955818851,1.666861719716355,1.764597185345981,1.9762647603229948,0.002382301472699932
a_subj.189660560,6.975384329528864,0.912621376670662,5.43351605322774,6.327106797774642,6.898121245029538,7.524876679086706,8.975204090079231,0.01577372047529618
a_subj.192065971,5.468488714497079,0.650432658804988,4.394666102305245,4.992913678791329,5.4149130643809995,5.869299224603249,6.8895000129662805,0.016561197196479676
a_subj.218675715,4.012340988470996,0.30962944862709413,3.411890033070451,3.8173490312500076,4.005496434967635,4.204243304262275,4.629347435304747,0.012627873705186768
a_subj.224184422,3.631354429487235,0.22670479679722194,3.2221128804703625,3.468653818148729,3.624576471673572,3.77752411815996,4.101590229358232,0.0036762125574151447
a_subj.224557592,3.65529000462948,0.2643373691613904,3.1746094423672298,3.472462917534175,3.6447484678364876,3.8222919879789115,4.214865480553479,0.004285700706332675
a_subj.245315813,4.343073528705455,0.30694544327432693,3.760617011760409,4.1298100472194506,4.335677907505792,4.546229888928105,4.9763840769638,0.004869130067524589
a_subj.251264572,5.436153945356177,0.41585090225448584,4.643189767787927,5.14644057349608,5.421470644733991,5.713801399938851,6.2850228589567045,0.005988388157599438
a_subj.251653297,1.283187405814857,0.07480847558610942,1.15224555144081,1.2312713230418033,1.278641980819804,1.331291534600731,1.4378661487213915,0.0012741291989055924
a_subj.252234006,1.6793904517711955,0.0980869597314973,1.4997574796629727,1.6108558698839968,1.6746180275218712,1.7406231792143614,1.8862467788818995,0.001450126943146323
a_subj.254632445,1.554572952257515,0.10073587959645817,1.3681271462191351,1.4851966937230632,1.5501446295429564,1.6200896475501638,1.7649807821478216,0.0018072717594905421
a_subj.278773301,4.000672846861982,0.2802426165538886,3.478082094170329,3.8098638003599774,3.9924912006169917,4.183238737924869,4.581918636039954,0.004546067033894105
a_subj.294041592,4.454081969708488,0.27042260420138314,3.9399293619439293,4.269746924512716,4.450782812346841,4.629846029637384,5.000273669859023,0.003965750933405817
a_subj.299760590,4.09188787364518,0.25683363883975463,3.609557545378549,3.9124830910239723,4.087858135384347,4.262678711585691,4.618353589436879,0.004154024730866788
a_subj.312902548,2.217766701506527,0.1291617052330258,1.9791139467138246,2.128498692256816,2.2132613694955747,2.2995112488936975,2.4914639542088612,0.0021272263249189575
a_subj.321769333,3.9343466923654775,0.25996049796412596,3.4584072193828517,3.7554083499302164,3.9217339572776866,4.095593386130093,4.503874572238576,0.0045885054250016264
a_subj.324908376,4.957212153853665,0.37466430728393624,4.295606972727684,4.6969857243825865,4.935392839823846,5.194322947139877,5.741251669574555,0.007254739063001852
a_subj.331590088,3.078682411540381,0.22373238836793186,2.6811049025759504,2.921090243537779,3.0684202550612976,3.221816721560572,3.5541792203680176,0.003601482495008904
a_subj.333010087,6.791761999255499,0.7978486457788407,5.498553294825152,6.2417513032500835,6.691652774109624,7.246119092194699,8.652369475412847,0.018167248741644843
a_subj.334324861,7.517420480185599,2.0725705063731135,3.963903086912696,6.126235958742617,7.321197063395244,8.730685882282838,12.231401506669423,0.03791957300194918
a_subj.336172395,0.7094261550056595,0.04032109428610086,0.6363840546021309,0.6817721914883887,0.7075184282558448,0.7348715912435565,0.7950218041436986,0.0006093285178483486
a_subj.349171132,1.683525822137724,0.11775275745948338,1.467179274094569,1.6038496829138507,1.6776218527528601,1.7561771835528446,1.9305572418039125,0.0022038453728722377
a_subj.350745134,2.617434053937926,0.17795241588774124,2.2878097439391887,2.495065732161447,2.6107430621542584,2.7299898458573795,2.9897526904948117,0.002859917852195466
a_subj.351777009,0.8591044271118442,0.053640845243570594,0.7571674046315127,0.8219784274653902,0.8565288225844736,0.894009945039743,0.9676931957076084,0.0008899431691062861
a_subj.355043712,4.421260591424601,0.2703065188149142,3.9098926861822867,4.234652227833967,4.41201026687928,4.598506168817503,4.980707416597308,0.0038257929217736914
a_subj.367119634,2.2126182622306754,0.13025653669238527,1.96709053194701,2.123201182255784,2.210102448117614,2.296619313867103,2.4923683006301416,0.002134503612680793
a_subj.374844073,3.3965091068929243,0.2433414067131565,2.8755195213219404,3.2409660564668727,3.407328040589923,3.5553964144243313,3.866206865025468,0.005995243977028356
a_subj.374999420,4.931465811138216,0.3568553669153295,4.278548776446984,4.685599776763183,4.915325755959694,5.158706594461095,5.698025850526094,0.007254504774883812
a_subj.394422911,4.489531500621326,0.30713426958075474,3.930105660951639,4.279859784292581,4.474029541451792,4.679615975656507,5.161683791940157,0.005466725454850957
a_subj.396122776,4.365146265907379,0.31504158224879075,3.7964775695999515,4.144749959409064,4.343651289015299,4.5623602642205725,5.032860602355664,0.0050654842070183125
a_subj.408368411,1.452377929818609,0.09373722646604885,1.2858717631624614,1.3875220501493648,1.4467508014228776,1.5090182503734977,1.6605347336878369,0.0016537558142069634
a_subj.432332461,1.4215265054537505,0.10656473437434344,1.2289388792902103,1.3465161453256969,1.4152350302542909,1.4913428470499022,1.645811974433254,0.002097952649010945
a_subj.433311086,4.27338235276609,0.31255665938417343,3.699982330378911,4.057713593987056,4.258457975247624,4.475956551611009,4.926717425756246,0.005043272109973897
a_subj.446421117,0.7578718426909613,0.04515387107670834,0.6758967870344145,0.7268072167291426,0.7558271196132585,0.786848330377218,0.8499169128415128,0.0007543146983393689
a_subj.449943813,3.5513161769778905,0.22370438358943506,3.1324970390962723,3.3975669737359033,3.5461361502550557,3.6972603750451056,4.007309132062708,0.003478237537958264
a_subj.452249694,4.056910748230492,0.3031307446432335,3.5228019775758135,3.850764077343485,4.033672305584988,4.239883861927464,4.728337734834588,0.005728917377231012
a_subj.455194813,2.2480357678495513,0.18447338722737736,1.8705335677152282,2.1233346702904097,2.2608303222367265,2.378962361158143,2.5898791685234728,0.00924023983447008
a_subj.455717130,4.058201475864092,0.25139714049280426,3.5914226386021655,3.8843224695482483,4.051784923300793,4.221810313357014,4.577152686826593,0.0037244440783111695
a_subj.492518259,2.536101518263957,0.16767090482364827,2.226652245158358,2.418018931841487,2.532903340813191,2.6438404961717095,2.885515420028396,0.0023305461602894425
a_subj.502901314,5.128899984113631,0.3292600589124682,4.518193274036597,4.904487158787684,5.113584571304754,5.345634368679204,5.8243824204837376,0.005101903971011906
a_subj.504663288,4.813055983753875,0.3422151722021421,4.194733251051808,4.575449374567901,4.796317863741811,5.027787828329778,5.530216224345524,0.006398278846031405
a_subj.507157861,1.6922061560335935,0.12242031145244599,1.4397697286541185,1.6131835684806688,1.693020505508866,1.7710536226192788,1.9317150471674214,0.0028042753826520803
a_subj.507740391,3.288332813699897,0.2155767486505524,2.8970235996476514,3.137498148270403,3.277843638499258,3.4242097145524477,3.7331662582171057,0.003832349149209967
a_subj.514268702,1.2158858515815871,0.08683014241821899,1.063822472879208,1.1552378690589358,1.2095676945751388,1.267251629626983,1.4071865030179715,0.0016971205574574772
a_subj.522579064,5.714898333733612,0.5206821465545551,4.786758072535729,5.347221842213728,5.688016137370318,6.036338280165209,6.838126643758742,0.010084013805201256
a_subj.534449063,3.760402949546087,0.2619812261628241,3.263823356836374,3.5795508446430127,3.7591492637415724,3.929663553393245,4.291734958867249,0.004029997723406751
a_subj.539422517,11.74141814517735,2.8906641334807186,6.654553222968211,9.425012710149968,11.786173448937355,14.011418827998423,17.035113153163035,0.16572643847610674
a_subj.546064836,1.7803423425246692,0.15798027510624302,1.4608416494527252,1.6717935834731619,1.7855635837559671,1.88740475764692,2.0817968342139874,0.003271698519283097
a_subj.561564728,3.9607748014144852,0.27116479005951616,3.455716382306456,3.769720841336554,3.950315324844801,4.131704088098854,4.545988871218367,0.004755452641432791
a_subj.563121476,0.9955279900405501,0.06983614044004864,0.8650070590496102,0.9469791369246441,0.9939154604736804,1.0415795351234038,1.1397752244542299,0.0012744012232211758
a_subj.578711405,0.9882100196796482,0.05530841316580257,0.8854360506117728,0.949877535722041,0.9854431407784376,1.0248838428330687,1.1043921586631833,0.0009490075814331041
a_subj.584470675,4.379010348084145,0.36911980283298546,3.5671501868888007,4.162313436859676,4.391805422498319,4.626680059322215,5.058524457882683,0.011495387512198111
a_subj.586071473,4.89268583647343,0.3768976091857966,4.197380210554917,4.6300467091878295,4.8789618283278395,5.145170963599464,5.665583767732235,0.006335687329399263
a_subj.589703985,1.085134005002669,0.12744525626555767,0.846338573026923,1.0005256487570264,1.0798572722882462,1.1665419926704879,1.3563144180024036,0.0037423690763383225
a_subj.605713945,0.7834934730487702,0.051657891523542804,0.6884911311194092,0.7476364990589205,0.7807664262043796,0.8180883733721963,0.8917249612405361,0.0009385733048011423
a_subj.626227255,3.9303353944265638,0.30597457039976306,3.3577390614382097,3.7194617170207955,3.922505003332449,4.130055438476751,4.542054404829403,0.004977317604439965
a_subj.628308431,2.7373513258763618,0.21212088461435333,2.3980867260890624,2.6285961735462706,2.7420069357686114,2.858562252118353,3.103365314634324,0.012315036533252315
a_subj.630235377,1.7249974421117857,0.10483065772842926,1.5297844195932868,1.6509613803823688,1.7201117767400347,1.7930290163694054,1.9439425663927925,0.0017948409003948785
a_subj.642346147,0.586378668862669,0.049874288564972794,0.5071585818613396,0.5505990849801043,0.579566566355003,0.6162730999548495,0.6983058114714348,0.0013579804739445266
a_subj.650974545,1.809030082091255,0.12903057947932325,1.5713033283060762,1.7183769649352483,1.8033294283427752,1.8925613708959164,2.0791507251142756,0.0023084321285226157
a_subj.652231699,2.5120411596432675,0.15872432821462285,2.2176258223800693,2.4050559657161017,2.5067671323355603,2.612081928308259,2.8468400655810213,0.002639076040988712
a_subj.657894484,2.4549742528139618,0.1515139589039251,2.1782308651262396,2.348986826753672,2.4502579937575684,2.5538770682266954,2.7660667782059423,0.0025273879743497834
a_subj.664438269,4.104905115726235,0.2796760313331598,3.590416472006246,3.911103501093403,4.094260300302827,4.289095606863961,4.685393371673262,0.005355868344081785
a_subj.673728725,4.828325662055504,0.37231727656239855,4.151375748570954,4.573250614417479,4.808046876219513,5.06155680175944,5.6562703040192375,0.005782262764915548
a_subj.683861923,1.8612679559468222,0.11963196037112174,1.6384645340685717,1.7778975284999394,1.8578885962093148,1.9410583353863855,2.103277775849471,0.0016843373667009306
a_subj.696039965,4.140484410703735,0.3168585030894143,3.55288920510659,3.939326443498703,4.135892026365784,4.339682109555554,4.761198540493247,0.012703207410590561
a_subj.716236442,4.17795820912174,0.2941031592026602,3.6195226308631385,3.978622344266056,4.171343773352986,4.368170478962378,4.776137054830989,0.004745566696515381
a_subj.717256200,4.7653101745776105,0.35431319973270126,4.13875662653869,4.520383284417431,4.745094250873616,4.984168214740935,5.521859870606862,0.0067298361774129015
a_subj.718176674,1.720946068758323,0.11395815207329639,1.5081681757212368,1.6434127662298736,1.7177881744412216,1.791377569108404,1.9587099957898317,0.0020033280268803976
a_subj.720435955,3.59979143704174,0.238191584347689,3.1536951946300835,3.436267465223033,3.5916701423566835,3.7544325063569834,4.087396389155614,0.004446963271843197
a_subj.733093513,2.689632988810434,0.226326387182522,2.2569608439366506,2.532924170559589,2.680345879056515,2.8420417009337324,3.1533521130947513,0.003967931183365993
a_subj.749079099,1.728045377582491,0.14407902463957128,1.3742610752863307,1.6529416555103293,1.7347608635492202,1.8198509863423584,1.9916830573582003,0.007821479208348948
a_subj.755075290,0.6743764077041325,0.038812851378421685,0.6038659078663439,0.6476691514192878,0.6723558097087957,0.6994607225813676,0.7544575342215681,0.0006759143785711181
a_subj.770588123,2.639957599766074,0.15763193485322666,2.346034816765958,2.535308715898508,2.6314188182254146,2.738770051808674,2.9675106373905784,0.0023088962651433695
