Participant,V_int,V_cond,Z,V_int_pop,V_cond_pop,Z_pop
2884955,-0.018731361,0.025995148,0.517592952,-0.084166103,0.176982198,0.513628687
3964964,-0.169936326,0.409389455,0.510180851,-0.188578145,0.409447414,0.508080721
12919430,-0.505410383,0.901826067,0.517500582,-0.484006478,0.874330325,0.515568622
34984274,0.029925051,-0.043582677,0.519717701,0.011749912,-0.01753217,0.518795056
41833230,-0.277861344,0.344184461,0.512165107,-0.273898906,0.331760755,0.510723455
43020357,-0.234076689,0.548487291,0.518946423,-0.226091677,0.504802121,0.518367133
48595352,0.408798569,0.422094527,0.526987052,0.385180507,0.431392585,0.527273148
48977487,-0.237868298,0.754496235,0.512210922,-0.217389968,0.71351926,0.511529188
56470734,-0.046266771,0.308889619,0.513758748,-0.054614272,0.312346641,0.512816261
74263281,-0.257058543,0.524358161,0.511228675,-0.251073562,0.519468156,0.509079733
75969320,-0.055159053,0.374141191,0.526419442,-0.077269572,0.36218438,0.525656109
92774005,-0.249999788,0.625204133,0.515354875,-0.243345338,0.614781158,0.513731771
96226407,-0.290960498,0.457045649,0.5185571,-0.277973562,0.426059123,0.515570252
97123322,-0.285027683,0.403586435,0.518570615,-0.275286036,0.404436433,0.515717473
100416772,-0.295131366,0.524766532,0.519143184,-0.286612941,0.512645856,0.518426046
102783161,-0.26781226,0.44322685,0.515946666,-0.234934732,0.491903867,0.517234137
103303422,-0.232635459,0.478741692,0.515192467,-0.354478817,0.165648167,0.509649366
120939072,-0.252147132,0.598171723,0.514991211,-0.24278324,0.615394171,0.514464176
129490812,-0.228955649,0.321970766,0.519681181,-0.223417349,0.2973373,0.516796097
130271607,-0.456353421,0.140249888,0.515000939,-0.422308277,0.15900771,0.511573167
130941034,-0.290980639,0.193678912,0.51643467,-0.304126726,0.217325799,0.516227117
134057190,-0.286096458,0.567871008,0.517127368,-0.279201842,0.560449588,0.515553174
147547787,-0.273966546,0.516986814,0.521838189,-0.294236001,0.496784366,0.51823878
148334112,-0.344743431,0.718768898,0.514633448,-0.334735651,0.700470605,0.513148609
176326342,-0.339417621,0.746388269,0.516232844,-0.302833635,0.683759194,0.515198361
189660560,-0.062809095,0.232676024,0.516225725,-0.074834187,0.251424686,0.515102254
192065971,-0.370945249,0.75572496,0.522051977,-0.362572157,0.724518447,0.520635288
218675715,-0.466713021,0.78777322,0.510541694,-0.449854872,0.769922664,0.508222637
224184422,-0.241232917,0.373873118,0.516662985,-0.239362201,0.374117482,0.515505959
224557592,-0.409116441,0.738727149,0.52307103,-0.383892964,0.720349112,0.522966655
245315813,-0.336518476,0.547216877,0.511532225,-0.32555048,0.519037042,0.507568502
251264572,-0.210733425,0.227005483,0.513883528,-0.211019332,0.231476403,0.512507696
251653297,-0.272072372,0.525890415,0.514895926,-0.235869379,0.502080443,0.513647763
252234006,-0.056488457,0.232390548,0.526186219,-0.070141758,0.235760994,0.526053511
254632445,-0.140484207,0.559419866,0.516417317,-0.141809716,0.586463676,0.517594613
278773301,-0.237549103,0.661853077,0.519734999,-0.234426973,0.641647674,0.518119723
294041592,-0.13294947,0.217297637,0.513349841,-0.135205518,0.217234634,0.511519349
