,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.777622673187502,0.20218901232130507,2.4001719142137885,2.6405811735734095,2.7676469636011327,2.91110001277776,3.1933224458112925,0.0031056189288624432
a_std,2.396806567080401,0.2604751474039499,1.9079483562960315,2.2199710077947494,2.39418670579666,2.563788816914168,2.9310214817779103,0.014239051122915439
a_subj.2884955,3.1835743912342647,0.19240163689843115,2.8297245514525096,3.050694527419802,3.17500579516289,3.3087730050002886,3.586710327878335,0.00210477658448935
a_subj.3964964,1.2059971093097448,0.08387166513113987,1.0522798024826079,1.1479787425341836,1.2028333841077115,1.2606232537705775,1.380682072430953,0.0011178641509721466
a_subj.12919430,4.18816550412693,0.26111496120616046,3.704701958031132,4.009914010209609,4.1760211046595925,4.359250646514731,4.733938139796928,0.0029236211491123457
a_subj.34984274,3.3567546522891787,0.19735571330713544,2.9914664286841197,3.2204577267113925,3.3512276743591167,3.487707479407736,3.7626832170302675,0.002231851878332503
a_subj.41833230,2.9366634603892443,0.21224918419409305,2.543330771543103,2.7899954570634597,2.9280265594133463,3.077148245501494,3.369860072905695,0.002732373456931373
a_subj.43020357,1.6310820249954563,0.09473196237498153,1.4591320826380643,1.565555420807062,1.6272209130463686,1.6924605788678941,1.8267368856977955,0.001069022691663225
a_subj.48595352,4.319830555818308,0.3973640978757629,3.6005904084668945,4.042968192294499,4.297818963503555,4.577624908865542,5.173455031047111,0.0070320655524370446
a_subj.48977487,1.769674899264365,0.1519513131947884,1.478493361545207,1.6681566334972193,1.7689920565497887,1.8697512277998845,2.0674204873810105,0.0021428115433367377
a_subj.56470734,2.301225265930077,0.2368592005303767,1.8812724437608046,2.132654134904108,2.2882285249003362,2.4545042266218635,2.805800916999039,0.0038810047657850304
a_subj.74263281,3.3276479611325374,0.21523381553263765,2.9382736776219094,3.1780582062549536,3.315132080083383,3.469284218834536,3.7742565985580816,0.002496602806020444
a_subj.75969320,1.4432271237509242,0.1255469124781675,1.2101571427891975,1.3576595177944597,1.439477221592426,1.5258861222102662,1.701139399353702,0.0019851561550787685
a_subj.92774005,3.6273149616971576,0.23278833883510944,3.1944388674881488,3.466692699679648,3.620464208810987,3.779336184176153,4.1016875026055235,0.003127008953540826
a_subj.96226407,4.876189170275549,0.31709028865230854,4.2915619670563085,4.656172267797876,4.868848534626305,5.07964264289798,5.527647119618301,0.003908765145308617
a_subj.97123322,0.6781137674399019,0.04053554816548756,0.6029795215872983,0.6506581522936917,0.6761998102323858,0.7041344535587118,0.7615299124609447,0.0005319652522053817
a_subj.100416772,4.80234221340626,0.29666824558892324,4.263557975826215,4.5939025225345524,4.793687989274453,4.9977054311948415,5.406334919835443,0.003540835132996886
a_subj.102783161,1.1400658833821067,0.06735841939650113,1.0178607807504498,1.0927646565776588,1.1368752709026246,1.1831415717452078,1.2823607696860466,0.0008796097723262949
a_subj.103303422,2.3938768159143494e-08,2.418173745367577e-09,1.96930010357414e-08,2.222612699799003e-08,2.3777597385085093e-08,2.5479583147755782e-08,2.9060138093647577e-08,2.3872965696067907e-11
a_subj.120939072,2.9866187607676933,0.23029236519146085,2.5514021493008108,2.8273078913287817,2.9811439708682976,3.14097590976447,3.450013977208404,0.0030093684812031716
a_subj.129490812,1.5600514722178913,0.14284572872260284,1.2936612246410153,1.4599221579875024,1.5562155154153021,1.65533801526316,1.8499136574581532,0.0019862001960364514
a_subj.130271607,0.679132741076,0.03933277791128981,0.6062688975015467,0.6520722242761072,0.6776177522585852,0.704115689927945,0.76097332365253,0.00043082733416430365
a_subj.130941034,1.2642780955384492,0.0990318903368674,1.0820531288348663,1.195727383907062,1.2585337258909106,1.3268500785332449,1.4765471653812987,0.0014080846547906958
a_subj.134057190,3.951232391539933,0.2527972313243875,3.4872128231749815,3.7755381022998407,3.940213069876219,4.119059273502815,4.469976683217421,0.0032595482308475547
a_subj.147547787,1.147236733454768,0.07866395730142384,1.0071980008745354,1.0918165412489578,1.142024551432201,1.1970258114345622,1.3162206143063102,0.0011172340423522787
a_subj.148334112,3.7290380167127126,0.2459026589676325,3.263319152229407,3.560181495654971,3.7211203592001403,3.8919440955569558,4.225136208496707,0.003011587351738463
a_subj.176326342,1.583204839303876,0.13936789177163367,1.320851542456221,1.4898809560504962,1.5778484007199685,1.6727522204978988,1.8680529060572528,0.001917600051218928
a_subj.189660560,6.792818997647945,0.8371630176525475,5.294825191639969,6.212570568569155,6.745190402777138,7.318793453021807,8.553352267416576,0.010031811943245008
a_subj.192065971,4.388092097658619,0.3352699633351736,3.8140436096728507,4.152854963673934,4.357548964730652,4.590658166578983,5.125950013255618,0.005714227255437849
a_subj.218675715,3.563484927639447,0.22980216507740653,3.106464842615439,3.422200909434544,3.564107153513495,3.7079632730063783,4.008063396851262,0.00931636657799549
a_subj.224184422,3.569687517057932,0.2228789232717707,3.158027260395252,3.4167283247919125,3.562299225729974,3.7139664031683166,4.027894038200907,0.003032021761380349
a_subj.224557592,3.315387183923725,0.22125960365589956,2.89503889443262,3.1637568054221186,3.3096807474781196,3.466014164267431,3.765487611619771,0.0026781112898873324
a_subj.245315813,4.096446766911874,0.28533362386466715,3.547191444754512,3.8999871917046525,4.094184451006717,4.282153912508239,4.666552343245908,0.0034042541036189027
a_subj.251264572,5.341042501701421,0.4062586957526221,4.5817380621147965,5.056464077738008,5.326808186724548,5.615749691888493,6.165558001532744,0.004036867664897477
a_subj.251653297,1.2730006119261588,0.07430504277851753,1.135997405315419,1.221146341847283,1.2705312286383341,1.3211648548813817,1.4250121504186342,0.0008611894091669862
a_subj.252234006,1.687883052827478,0.09796609025783244,1.5058938585981025,1.6194012126264306,1.6830405716959596,1.7516300785324406,1.89166620227537,0.001124558506072574
a_subj.254632445,1.5301640093642843,0.09960457501875943,1.3480283164768103,1.4601529567278346,1.5246187949811398,1.5963315998387524,1.7377761744629607,0.0012574830771406565
a_subj.278773301,3.697863241958465,0.24073885670550396,3.236759875610168,3.5312107483536437,3.6919003376879362,3.858614628949567,4.182276345675637,0.0029016295475095444
a_subj.294041592,4.45679012121233,0.27532104221051756,3.933483062576043,4.264646760757691,4.452384763207677,4.638721029981486,5.019447860440101,0.0028032117609004346
a_subj.299760590,3.927964528161021,0.2348443208379667,3.4798149984920856,3.7683815403646634,3.923440323744439,4.0827606524844695,4.404153813985077,0.003043342740064725
a_subj.312902548,2.209587105315648,0.12973105078569447,1.9693001863464537,2.1193340371254035,2.2041906550535892,2.293531085313682,2.478350992351259,0.0016686383110647482
a_subj.321769333,3.6380881296264973,0.2150357881768493,3.241521794046162,3.4894249487124047,3.6279541371624067,3.7781830515463484,4.084541700021424,0.002713927991035664
a_subj.324908376,4.4736022475300645,0.2855401725985816,3.94278101898797,4.273411876380438,4.4639264529351,4.661422307238814,5.057490270444415,0.003275998533868966
a_subj.331590088,2.7353529469456435,0.169476398764784,2.417596225529026,2.617046801468333,2.730776731839628,2.8443244904109175,3.0836269973587047,0.0018923282374946632
a_subj.333010087,5.5242090068348295,0.42263330931528814,4.77211123800456,5.22590139327741,5.494317107520074,5.798031625896267,6.426583742919282,0.006376635325983984
a_subj.334324861,6.4717937216547785,1.753479429986916,3.1132615165964506,5.385538223623684,6.367872942090317,7.48196626177732,10.22749240898765,0.019111230707134153
a_subj.336172395,0.7083572744493755,0.04070692078941561,0.6340447505115377,0.679680672838535,0.7060309202692788,0.7351862814197125,0.7926676718603503,0.00047093412940069583
a_subj.349171132,1.5942551797198823,0.10319282570691696,1.4070396985619567,1.522273769578169,1.590162490783363,1.660815512957947,1.8061488248471074,0.0011062678698491645
a_subj.350745134,2.6381102553667737,0.17712100318118454,2.3046889540923807,2.514697400694048,2.633074780181056,2.753670671786413,3.000505375298557,0.0020411066034980016
a_subj.351777009,0.8603236354801372,0.05356183511327664,0.7607700670464957,0.8241115563704359,0.8578612508638471,0.894224338513458,0.9717023978750748,0.0007623601580478102
a_subj.355043712,4.260235769382482,0.25192080658319593,3.779799499313471,4.08815004442826,4.25566543025371,4.429657961425105,4.754181404317986,0.0029452974987144156
a_subj.367119634,2.2181525642421245,0.13296913087573728,1.9731774520412229,2.1254129285667114,2.212773618159662,2.3047274723834414,2.492261887949713,0.0015815515208762766
a_subj.374844073,3.3859000191360806,0.24356907693212332,2.872669310914124,3.2319395173783625,3.395641369980917,3.5508921721216065,3.8407309144213744,0.004505025057266512
a_subj.374999420,4.251697936735881,0.27253587466723533,3.7327713846329127,4.067811295795469,4.246399671882873,4.4324610232892505,4.801001181519424,0.0034861218287238283
a_subj.394422911,4.282374500766786,0.27650329716711186,3.772073891570848,4.094543567786254,4.2701094164663385,4.4616051561895205,4.856571485339575,0.003293033081527495
a_subj.396122776,4.124884795306465,0.27037875750945656,3.6164699611863864,3.938075324047605,4.117852409858834,4.301085303162079,4.666116374318883,0.0034309230409266442
a_subj.408368411,1.4265276589878464,0.0901061442619407,1.267986670845096,1.3636850326134184,1.420149550584555,1.481662565227146,1.6221505951187523,0.0011853639520014985
a_subj.432332461,1.428433964713295,0.10851786414599458,1.232736381870032,1.3534717584479903,1.4219491158160367,1.497853812424261,1.6587536082907062,0.0015439277216059398
a_subj.433311086,4.023491716645297,0.2704902040362741,3.532658654843513,3.8366955127671005,4.011644344458746,4.196608996245724,4.584418671066746,0.0033213992950748236
a_subj.446421117,0.7586735311446209,0.045097582605363326,0.6770761960893787,0.7273017394911885,0.756091499747964,0.7873660949993135,0.8535174331547546,0.0005247175520156466
a_subj.449943813,3.477094503521555,0.21816169045494893,3.0686479253763927,3.3263677409994807,3.470234017572497,3.619880631603791,3.935848745094129,0.00291740782945108
a_subj.452249694,3.835711415609154,0.26397165994191907,3.3706662319881815,3.6523107858454433,3.820105737818996,3.995858780901301,4.394962150066639,0.003710459181288401
a_subj.455194813,2.181773688029625,0.1921619074441569,1.8238828840701689,2.0428967315516893,2.1796739537578462,2.3180836028861744,2.555173188609841,0.008302108467896746
a_subj.455717130,4.043545887799174,0.2546327853501313,3.5651544977156058,3.86684897498627,4.038159009710101,4.209339518087402,4.562333197969153,0.0030413502991169005
a_subj.492518259,2.5398219230734194,0.16726071362111608,2.232249862207962,2.424790245058503,2.5307940404187166,2.6461018183024008,2.8939697724838194,0.0020799719892731963
a_subj.502901314,4.807524146384716,0.28205820717113234,4.273369357433273,4.613958649495008,4.800224892025435,4.992024532326072,5.3942426354068775,0.003136902619609997
