,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.788634876,0.182149757,2.465788043,2.662638555,2.779292868,2.906570904,3.168160423,0.003385897
a_std,2.096603636,0.183736405,1.776550098,1.967088588,2.083462203,2.213501419,2.508318767,0.003681188
a_subj.2884955,2.874535954,0.499060862,1.94057699,2.333170901,3.062305748,3.24510695,3.54200015,0.046453995
a_subj.3964964,1.211280114,0.083705997,1.051780761,1.153649404,1.208331687,1.266196367,1.386810915,0.001584043
a_subj.12919430,4.167455344,0.258201901,3.688416223,3.988005001,4.158563655,4.339380031,4.697617327,0.004276981
a_subj.34984274,3.349758712,0.198878225,2.976240284,3.213316127,3.343559024,3.48254851,3.763766013,0.003394582
a_subj.41833230,2.940144595,0.205876636,2.558649317,2.796228085,2.934597484,3.074802528,3.36220955,0.003936342
a_subj.43020357,1.633719356,0.096847793,1.456475015,1.566614293,1.630189386,1.697036332,1.834884129,0.001492195
a_subj.48595352,4.280496471,0.418599381,3.550327903,3.987078819,4.249450708,4.54116745,5.203300733,0.010422502
a_subj.48977487,1.785596231,0.15192151,1.497949321,1.682838345,1.783045392,1.886419905,2.091025038,0.002544867
a_subj.56470734,2.300231169,0.233597089,1.888571895,2.134335754,2.283216476,2.446038174,2.801311,0.005226823
a_subj.74263281,3.326681505,0.21488878,2.935696465,3.178156768,3.31268983,3.466466596,3.770702109,0.003660645
a_subj.75969320,1.43465943,0.122165801,1.207796763,1.350684917,1.429868317,1.515821677,1.682763403,0.002496913
a_subj.92774005,3.626980484,0.22877865,3.192349358,3.468383624,3.623303146,3.775711952,4.095111514,0.00396969
a_subj.96226407,4.881232781,0.32171878,4.286537583,4.663362395,4.868090836,5.091611432,5.541262104,0.004976672
a_subj.97123322,0.67765338,0.039609312,0.605756375,0.650449241,0.675243022,0.702740305,0.762044124,0.000725466
a_subj.100416772,4.785974688,0.305239163,4.225486417,4.576479883,4.773930392,4.986427923,5.416157114,0.00440208
a_subj.102783161,1.140530288,0.06533044,1.019980704,1.094885764,1.138413546,1.183077656,1.273878324,0.001111017
a_subj.103303422,0.000209285,0.006065265,1.95E-08,2.21E-08,2.36E-08,2.55E-08,2.94E-08,0.000212249
a_subj.120939072,2.992009301,0.228349377,2.547571881,2.837094591,2.988738476,3.145780051,3.442848121,0.004348667
a_subj.129490812,1.554143338,0.144737362,1.282634421,1.451561352,1.549350232,1.648398394,1.857777434,0.003100596
a_subj.130271607,0.678957836,0.03914693,0.606556858,0.652304071,0.677431987,0.704444681,0.760841249,0.000577713
a_subj.130941034,1.26448503,0.100727909,1.082238245,1.193641093,1.260203972,1.327701923,1.473483408,0.001799502
a_subj.134057190,3.968627771,0.253937144,3.48067909,3.796237747,3.960652438,4.137206886,4.48276381,0.004672333
a_subj.147547787,1.143344822,0.077384463,1.004326254,1.089211921,1.137290726,1.19361668,1.309022829,0.001392511
a_subj.148334112,3.734373899,0.244386924,3.275031671,3.564010148,3.7235953,3.899401271,4.227218577,0.004072642
a_subj.176326342,1.580483269,0.139750432,1.321319178,1.485848951,1.573885569,1.668652774,1.876644073,0.002942138
a_subj.189660560,6.718167743,0.831948582,5.277711438,6.131677716,6.661680499,7.245420167,8.50671074,0.012702113
a_subj.192065971,4.393701364,0.340765308,3.806675118,4.160158997,4.355819682,4.59600282,5.163990093,0.008146895
a_subj.218675715,3.55829621,0.231017948,3.094654984,3.416994103,3.561725803,3.705340691,3.996380818,0.010257984
a_subj.224184422,3.571208408,0.220250935,3.162801932,3.415883878,3.563662924,3.715956893,4.027796812,0.003675906
a_subj.224557592,3.31738449,0.218412671,2.895178448,3.171692875,3.310711327,3.461340231,3.772976697,0.003281603
a_subj.245315813,4.083690706,0.278136956,3.558133035,3.895491919,4.080488254,4.267121643,4.648835732,0.004166382
a_subj.251264572,5.329352341,0.405093613,4.560825816,5.051158732,5.321554985,5.598628399,6.143735729,0.006048862
a_subj.251653297,1.276277692,0.074516639,1.140559022,1.22465567,1.273189939,1.324814508,1.432890161,0.001208055
a_subj.252234006,1.689668987,0.098928062,1.505478768,1.621548029,1.685565076,1.752120409,1.900617921,0.00146518
a_subj.254632445,1.535480176,0.098799545,1.352579385,1.466381846,1.531872391,1.601569696,1.737426498,0.00175683
a_subj.278773301,3.688842162,0.245254483,3.22849054,3.518039436,3.679961273,3.846607739,4.203067182,0.004172939
a_subj.294041592,4.454993311,0.27214198,3.927686843,4.271636504,4.451747986,4.635568831,4.994877738,0.00417512
a_subj.299760590,3.936739143,0.235326295,3.496269941,3.774103237,3.929380782,4.092207652,4.408822665,0.00354161
a_subj.312902548,2.219881126,0.131635296,1.976273526,2.12923693,2.215192018,2.306278533,2.491057718,0.002204771
a_subj.321769333,3.637823318,0.215601658,3.237616253,3.488944395,3.627098432,3.772489175,4.088918256,0.003347251
a_subj.324908376,4.463342304,0.286867441,3.903371319,4.269928295,4.460216641,4.647036677,5.049974102,0.00419063
a_subj.331590088,2.745300289,0.166065838,2.439204348,2.629495452,2.741375841,2.850188011,3.087009894,0.002643407
a_subj.333010087,5.545258838,0.417865564,4.813160905,5.248855906,5.522857978,5.809311628,6.415379706,0.01044388
a_subj.334324861,6.210595302,1.668537811,2.825651569,5.206488116,6.148859602,7.198628575,9.677866485,0.02449846
a_subj.336172395,0.709646358,0.040066645,0.635931863,0.682142076,0.707816399,0.735784419,0.791880994,0.000595839
a_subj.349171132,1.595549383,0.101569935,1.408386797,1.525065277,1.590898049,1.66302127,1.805789944,0.001837811
a_subj.350745134,2.633725527,0.176304489,2.304457013,2.513419988,2.625500232,2.745549552,3.002218834,0.00285854
a_subj.351777009,0.860335177,0.053643825,0.759599704,0.82396956,0.858160921,0.895226379,0.972535078,0.000835638
a_subj.355043712,4.283358672,0.261795103,3.791840209,4.105516484,4.273677194,4.456352892,4.806125513,0.004829051
a_subj.367119634,2.222005867,0.132147104,1.976609581,2.129857525,2.217962716,2.304961073,2.495554487,0.002474748
a_subj.374844073,3.420931658,0.228776708,2.951487235,3.274755626,3.421552116,3.571452257,3.871614602,0.004985102
a_subj.374999420,4.254150969,0.27129673,3.748282081,4.065273448,4.248750471,4.433000305,4.817422294,0.004564481
a_subj.394422911,4.283096411,0.277927526,3.775819982,4.090930275,4.271700388,4.458638765,4.853115186,0.004439348
a_subj.396122776,4.110217849,0.271625392,3.593814171,3.925576779,4.106470064,4.285717279,4.664872728,0.004516994
a_subj.408368411,1.419797428,0.086999758,1.264999929,1.360050333,1.41387891,1.473961146,1.610331207,0.001465818
a_subj.432332461,1.426872455,0.104167964,1.235440665,1.356337358,1.421381758,1.492406912,1.649773048,0.001920493
a_subj.433311086,4.019717554,0.262063131,3.52887515,3.838805398,4.010125927,4.185411667,4.567517324,0.004105904
a_subj.446421117,0.758395119,0.04444433,0.678209988,0.727139936,0.755947124,0.786660423,0.853663302,0.000747646
a_subj.449943813,3.469635196,0.219140722,3.068467366,3.315009415,3.463691459,3.610453894,3.916201535,0.003028471
a_subj.452249694,3.818531336,0.306876866,3.221762844,3.641949807,3.820358447,4.006209595,4.406966083,0.01553967
a_subj.455194813,2.149286741,0.185106453,1.809081083,2.014166198,2.139062731,2.28337312,2.515528958,0.009704371
a_subj.455717130,4.034868892,0.248395911,3.566682337,3.86080169,4.028508679,4.199028283,4.543755342,0.003741041
a_subj.492518259,2.55445767,0.173411581,2.240171606,2.436762246,2.543938894,2.665212638,2.919947547,0.003076166
a_subj.502901314,4.79872343,0.279961117,4.277978023,4.603578781,4.791992713,4.983929186,5.377373084,0.004099872
a_subj.504663288,4.486269544,0.2836882,3.981606697,4.291258273,4.470854915,4.668122796,5.087382451,0.004728363
a_subj.507157861,1.685865543,0.121052592,1.444822175,1.605041535,1.688702027,1.763186112,1.92599489,0.004136035
a_subj.507740391,3.169989518,0.206710233,2.79220598,3.028387655,3.158977822,3.297419967,3.612390942,0.003399639
a_subj.514268702,1.202557599,0.083044398,1.054231936,1.144776082,1.196127339,1.254118503,1.385255027,0.001210902
a_subj.522579064,4.718100167,0.34952649,4.060617776,4.473759452,4.712016105,4.958945436,5.416973552,0.006775354
a_subj.534449063,3.778271861,0.266712383,3.268717559,3.596239936,3.772001916,3.957086944,4.307986984,0.004863535
a_subj.539422517,5.903098891,0.882217064,4.764070731,5.35313711,5.783483618,6.339097489,7.455755841,0.031949593
a_subj.546064836,1.767727454,0.161452811,1.455179741,1.661194418,1.76998069,1.876339,2.074804737,0.00370908
a_subj.561564728,3.680474078,0.230867417,3.247624835,3.521836606,3.675199486,3.831380277,4.159188531,0.003727735
a_subj.563121476,1.005407032,0.072931758,0.871458385,0.955705223,1.002376912,1.052552028,1.157653802,0.001472436
a_subj.578711405,0.983560432,0.055926449,0.880082313,0.945323413,0.981345132,1.019228184,1.102256589,0.000887778
a_subj.584470675,4.332475114,0.415012025,3.571781902,4.109521315,4.34235536,4.552205918,5.023270433,0.012146998
a_subj.586071473,3.970807458,0.265310241,3.473506797,3.790339674,3.962690954,4.142674065,4.508521998,0.004506776
a_subj.589703985,1.10114481,0.129934386,0.858900379,1.0095527,1.096204279,1.188703979,1.367726182,0.003498453
a_subj.605713945,0.787031636,0.053123088,0.689419411,0.749802763,0.78510099,0.821254269,0.901789069,0.00090939
a_subj.626227255,3.810640046,0.291410991,3.269559304,3.605124577,3.797671676,4.00739685,4.401905799,0.004915053
