,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,3.046599662,0.174720967,2.719531968,2.925503052,3.03932096,3.159636514,3.414807924,0.003746315
a_std,1.984703716,0.244229326,1.631369446,1.8208688,1.933160938,2.092204098,2.609665195,0.018057747
a_subj.2884955,2.106877953,0.153225005,1.827816423,2.000443622,2.096847861,2.201328509,2.436396715,0.002751714
a_subj.3964964,1.192922542,0.089357219,1.03429579,1.130060064,1.188202038,1.249272758,1.384576585,0.001504943
a_subj.12919430,5.15522701,0.427518949,4.41563527,4.858432121,5.120804855,5.41877316,6.073275848,0.00864986
a_subj.34984274,3.371370121,0.205160885,2.994612304,3.227741376,3.361338097,3.503100918,3.79771269,0.003374843
a_subj.41833230,2.967694756,0.213710834,2.570131455,2.82028276,2.958779682,3.106819246,3.396876215,0.00410817
a_subj.43020357,1.651054428,0.0993677,1.470177201,1.580988986,1.645798197,1.717242543,1.852697921,0.001654976
a_subj.48595352,4.631777305,0.452345391,3.830437239,4.312061422,4.600033736,4.913705781,5.595205586,0.01022274
a_subj.48977487,1.918060125,0.161147324,1.610270455,1.808460421,1.918548041,2.02242815,2.243648849,0.003065332
a_subj.56470734,2.372314156,0.250030033,1.928106235,2.198797114,2.356618524,2.530328966,2.911121324,0.004951691
a_subj.74263281,3.463311454,0.229924932,3.055051802,3.301090408,3.449499834,3.605545493,3.944056963,0.004185346
a_subj.75969320,1.464647012,0.124324245,1.234198855,1.378713372,1.460693615,1.546657765,1.723732912,0.002482121
a_subj.92774005,3.853205085,0.263756151,3.358593682,3.676265744,3.839871977,4.024133817,4.396908722,0.004856661
a_subj.96226407,5.157789816,0.358424022,4.498588786,4.910260461,5.152284024,5.383977176,5.89381129,0.005358879
a_subj.97123322,0.698100053,0.042681453,0.618859034,0.668326997,0.69588047,0.726110115,0.785804346,0.000649859
a_subj.100416772,5.108231331,0.353995017,4.467402447,4.856522333,5.091062891,5.341326677,5.866964914,0.005255721
a_subj.102783161,1.145321124,0.069425035,1.016538132,1.098158929,1.142994774,1.189783129,1.289470542,0.001194973
a_subj.103303422,2.041393216,0.395331597,1.315611045,1.746809958,2.027867644,2.343003015,2.782069196,0.015014961
a_subj.120939072,3.237717558,0.246825611,2.768012185,3.07120144,3.232001771,3.392772099,3.734280131,0.004410544
a_subj.129490812,1.583272853,0.142159868,1.312952728,1.484333213,1.581087236,1.678294209,1.87330253,0.003212786
a_subj.130271607,0.682262994,0.041213147,0.607234892,0.653399492,0.680684343,0.708713587,0.768284533,0.000762116
a_subj.130941034,1.256890583,0.111005088,1.051710192,1.180748275,1.251253756,1.327440814,1.491409818,0.002432011
a_subj.134057190,4.239503669,0.287915404,3.707759569,4.036017463,4.231814534,4.426965658,4.823060787,0.004730276
a_subj.147547787,1.138153153,0.079075338,0.995943937,1.081276889,1.133806157,1.188459861,1.304428832,0.001585666
a_subj.148334112,4.169275363,0.30674352,3.594980623,3.958805427,4.156759672,4.370006041,4.802082281,0.00526187
a_subj.176326342,1.718474196,0.157210811,1.431863299,1.60905539,1.709532758,1.824062809,2.046064906,0.003469297
a_subj.189660560,6.861443439,0.878929874,5.340117705,6.242319643,6.805265316,7.382726926,8.752411243,0.016878219
a_subj.192065971,5.444431838,0.619736189,4.392777988,4.999107383,5.390889146,5.841857486,6.783860784,0.019883584
a_subj.218675715,4.019601701,0.281088811,3.520736366,3.821997775,4.002790595,4.198305276,4.612770302,0.005040295
a_subj.224184422,3.635716705,0.229540628,3.202868258,3.473258289,3.629143965,3.791201242,4.104315919,0.003828212
a_subj.224557592,3.715938166,0.275999045,3.195219967,3.531603682,3.702876808,3.891732936,4.29602553,0.004451026
a_subj.245315813,4.374093541,0.309906965,3.803637491,4.164172655,4.365254528,4.575358223,5.023558829,0.004517237
a_subj.251264572,5.41622864,0.419267317,4.636078471,5.128038289,5.402843349,5.691898656,6.280630251,0.007058473
a_subj.251653297,1.279045968,0.078633829,1.137431639,1.224855121,1.273206191,1.328553919,1.454267851,0.001455251
a_subj.252234006,1.722917416,0.103025981,1.536568892,1.651365128,1.719370872,1.7893395,1.937997408,0.001794248
a_subj.254632445,1.565069342,0.109768556,1.362268507,1.489954449,1.560635205,1.635575699,1.792564674,0.002177327
a_subj.278773301,4.015642988,0.28111824,3.497478718,3.817846564,4.00671394,4.191832418,4.614370112,0.005483789
a_subj.294041592,4.473052011,0.275785751,3.955740835,4.279028718,4.467052785,4.655428169,5.041659082,0.003911713
a_subj.299760590,4.093445642,0.252726264,3.621466981,3.920082788,4.084269839,4.256871875,4.614782269,0.004631446
a_subj.312902548,2.234912354,0.133898542,1.987126797,2.143298859,2.227743604,2.321633841,2.519635486,0.002336372
a_subj.321769333,3.927097113,0.259338746,3.452964554,3.746407712,3.915944999,4.096519714,4.463936085,0.004740119
a_subj.324908376,4.928415396,0.367860298,4.253508409,4.680772675,4.91160359,5.153973352,5.735318899,0.006266232
a_subj.331590088,3.073704882,0.220986217,2.677135444,2.919867095,3.059688954,3.209357305,3.53613989,0.003892379
a_subj.333010087,6.69595169,0.728130012,5.465888322,6.187599461,6.618333107,7.120873301,8.336448159,0.016545762
a_subj.334324861,7.029579298,1.809587744,3.823426044,5.83021284,6.882276026,8.081381398,10.94777712,0.034399878
a_subj.336172395,0.70694358,0.045621645,0.624157048,0.675250179,0.704545805,0.735342666,0.801486086,0.000609312
a_subj.349171132,1.663560463,0.115781354,1.451683531,1.583780127,1.658204859,1.7373379,1.907456618,0.00224872
a_subj.350745134,2.622204651,0.17363166,2.295544559,2.503045156,2.615419499,2.731990244,2.978791516,0.003157975
a_subj.351777009,0.855694568,0.056186779,0.749879512,0.816863128,0.854176226,0.893165837,0.968611533,0.001072105
a_subj.355043712,4.495339483,0.284093555,3.966260232,4.30261713,4.483172137,4.678821797,5.069857239,0.005214495
a_subj.367119634,2.219192882,0.134885445,1.976936519,2.124174815,2.214933113,2.306349973,2.496854045,0.002110966
a_subj.374844073,3.351433619,0.246677474,2.860173492,3.183935665,3.350761261,3.52212328,3.828175989,0.005155464
a_subj.374999420,4.94960714,0.366155448,4.280666371,4.692344063,4.931890422,5.195094487,5.715088928,0.006505503
a_subj.394422911,4.487019826,0.309660608,3.913794756,4.272549833,4.473112893,4.679098134,5.154564172,0.005593391
a_subj.396122776,4.364223241,0.312631802,3.793162777,4.151136442,4.345029157,4.571325027,5.014590522,0.006047132
a_subj.408368411,1.424092469,0.08794483,1.265840038,1.362336963,1.420175029,1.480317791,1.6110383,0.001426059
a_subj.432332461,1.440296749,0.110347803,1.247959285,1.3643448,1.432034815,1.509626221,1.67684299,0.00206736
a_subj.433311086,4.239768575,0.298894485,3.696261701,4.033662831,4.229766943,4.432459564,4.858114725,0.005597325
a_subj.446421117,0.76282658,0.047536549,0.680110854,0.729180318,0.759383579,0.793068216,0.862065338,0.000798852
a_subj.449943813,3.548407518,0.233266442,3.124606685,3.385054058,3.536609934,3.701319071,4.018006759,0.00390374
a_subj.452249694,4.036160905,0.302523966,3.490570709,3.825037123,4.023243502,4.224268575,4.688815781,0.006168833
a_subj.455194813,2.275687264,0.173112433,1.929162722,2.160879431,2.281099426,2.392140714,2.608702838,0.007598639
a_subj.455717130,4.047759369,0.254771072,3.571093563,3.869475539,4.040192581,4.215364367,4.56061417,0.004437301
a_subj.492518259,2.57446307,0.173424676,2.257767377,2.454598533,2.566836836,2.687588517,2.943399394,0.002993105
