Participant,a,t,v_int,v_cond,stim_n,stim_w,z,a_gen,t_gen,v_int_gen,v_cond_gen,stim_n_gen,stim_w_gen,z_gen
2884955,3.177341991,0.95846686,-0.018731361,0.025995148,-0.002834138,0.002963902,0.517592952,2.106877953,2.810047534,-0.084166103,0.176982198,-0.002995758,0.001498204,0.513628687
3964964,1.206591619,0.927301668,-0.169936326,0.409389455,-0.001470662,0.00096935,0.510180851,1.192922542,0.927256365,-0.188578145,0.409447414,-0.001569786,0.001076415,0.508080721
12919430,5.215222581,0.919968564,-0.505410383,0.901826067,-0.000978756,0.00510199,0.517500582,5.15522701,0.927582294,-0.484006478,0.874330325,-0.001357818,0.004781793,0.515568622
34984274,3.353157015,0.970821008,0.029925051,-0.043582677,-0.001465299,0.000640958,0.519717701,3.371370121,0.952848325,0.011749912,-0.01753217,-0.001975204,0.000674502,0.518795056
41833230,2.970442911,0.650872214,-0.277861344,0.344184461,-0.001533785,0.000144032,0.512165107,2.967694756,0.647468001,-0.273898906,0.331760755,-0.001849522,0.000120884,0.510723455
43020357,1.653281057,0.932259029,-0.234076689,0.548487291,-0.001653089,0.002579053,0.518946423,1.651054428,0.930523039,-0.226091677,0.504802121,-0.002134525,0.002750797,0.518367133
48595352,4.678638438,0.752893916,0.408798569,0.422094527,-0.001667797,0.003079886,0.526987052,4.631777305,0.755516503,0.385180507,0.431392585,-0.002076212,0.002945213,0.527273148
48977487,1.888186353,1.280664279,-0.237868298,0.754496235,-0.002164193,0.001169971,0.512210922,1.918060125,1.277374975,-0.217389968,0.71351926,-0.002705072,0.001714312,0.511529188
56470734,2.277371097,0.799596497,-0.046266771,0.308889619,-0.001885776,-0.003391829,0.513758748,2.372314156,0.776002846,-0.054614272,0.312346641,-0.002300723,-0.00338924,0.512816261
74263281,3.477975273,1.717912597,-0.257058543,0.524358161,-0.001413644,-0.001457178,0.511228675,3.463311454,1.732706824,-0.251073562,0.519468156,-0.001891788,-0.001565331,0.509079733
75969320,1.407046098,0.881052952,-0.055159053,0.374141191,-0.001754078,-0.001777853,0.526419442,1.464647012,0.872588299,-0.077269572,0.36218438,-0.002054071,-0.001091688,0.525656109
92774005,3.858015567,0.772588706,-0.249999788,0.625204133,-0.000489787,-0.007085171,0.515354875,3.853205085,0.769251336,-0.243345338,0.614781158,-0.000663997,-0.007111371,0.513731771
96226407,5.161316281,0.78721787,-0.290960498,0.457045649,-0.000743094,-0.003432342,0.5185571,5.157789816,0.807082006,-0.277973562,0.426059123,-0.000979488,-0.004051627,0.515570252
97123322,0.677542523,0.973361958,-0.285027683,0.403586435,-0.00156369,0.001717071,0.518570615,0.698100053,0.972684879,-0.275286036,0.404436433,-0.001666177,0.001466794,0.515717473
100416772,5.174757525,0.913080971,-0.295131366,0.524766532,-0.000676231,-3.02E-05,0.519143184,5.108231331,0.925087518,-0.286612941,0.512645856,-0.000986048,-0.000163702,0.518426046
102783161,1.144183247,0.942813832,-0.26781226,0.44322685,-0.001613377,0.001224322,0.515946666,1.145321124,0.944815661,-0.234934732,0.491903867,-0.002049721,0.000683453,0.517234137
103303422,2.38E-08,1,-0.232635459,0.478741692,-0.001874755,-0.000585182,0.515192467,2.041393216,0.704624349,-0.354478817,0.165648167,-0.002149093,-0.003888752,0.509649366
120939072,3.186406039,0.652129648,-0.252147132,0.598171723,-0.001621716,-0.001932772,0.514991211,3.237717558,0.633883105,-0.24278324,0.615394171,-0.002093066,-0.00286665,0.514464176
129490812,1.533906143,0.903946719,-0.228955649,0.321970766,-0.00150447,-0.001032666,0.519681181,1.583272853,0.902157184,-0.223417349,0.2973373,-0.002028786,-0.001219758,0.516796097
130271607,0.683444183,0.980810311,-0.456353421,0.140249888,-0.001983147,0.000370358,0.515000939,0.682262994,0.981321478,-0.422308277,0.15900771,-0.002382877,0.000489801,0.511573167
130941034,1.260969102,0.893650561,-0.290980639,0.193678912,-0.001532461,-0.002277355,0.51643467,1.256890583,0.891919784,-0.304126726,0.217325799,-0.002008227,-0.001605463,0.516227117
134057190,4.259514038,0.854957425,-0.286096458,0.567871008,-0.00149458,0.001845001,0.517127368,4.239503669,0.862397045,-0.279201842,0.560449588,-0.001930467,0.001695862,0.515553174
147547787,1.152800791,1.318722266,-0.273966546,0.516986814,-0.002092602,0.003309179,0.521838189,1.138153153,1.331993998,-0.294236001,0.496784366,-0.002524318,0.003200937,0.51823878
148334112,4.174700552,0.704796596,-0.344743431,0.718768898,-0.002447068,0.005293951,0.514633448,4.169275363,0.697192682,-0.334735651,0.700470605,-0.002836883,0.005302413,0.513148609
176326342,1.666733088,1.291183098,-0.339417621,0.746388269,-0.001986528,0.000346055,0.516232844,1.718474196,1.282102527,-0.302833635,0.683759194,-0.002128914,0.000697561,0.515198361
189660560,7.101253135,1.314764988,-0.062809095,0.232676024,-0.003897527,-0.005763118,0.516225725,6.861443439,1.505840738,-0.074834187,0.251424686,-0.004325343,-0.005646229,0.515102254
192065971,5.719592371,1.629394909,-0.370945249,0.75572496,-0.00034959,-0.000234398,0.522051977,5.444431838,1.947236465,-0.362572157,0.724518447,-0.000748081,-0.000598131,0.520635288
218675715,4.02381212,0.809642386,-0.466713021,0.78777322,-0.002137106,-0.000917608,0.510541694,4.019601701,0.80422971,-0.449854872,0.769922664,-0.002472838,-0.000724109,0.508222637
224184422,3.634292907,0.911334959,-0.241232917,0.373873118,-0.002828759,-0.001561286,0.516662985,3.635716705,0.911270113,-0.239362201,0.374117482,-0.003247026,-0.001650359,0.515505959
224557592,3.642098357,0.727441359,-0.409116441,0.738727149,-0.002874398,0.002441838,0.52307103,3.715938166,0.707472531,-0.383892964,0.720349112,-0.003524604,0.00270491,0.522966655
245315813,4.321346979,0.587398208,-0.336518476,0.547216877,-0.002456398,0.002470513,0.511532225,4.374093541,0.579611034,-0.32555048,0.519037042,-0.002980477,0.002296988,0.507568502
251264572,5.427414064,0.725410638,-0.210733425,0.227005483,-0.001203546,-0.003157844,0.513883528,5.41622864,0.700850607,-0.211019332,0.231476403,-0.001652034,-0.003196336,0.512507696
251653297,1.284566304,1.378895565,-0.272072372,0.525890415,-0.001619268,-0.001496902,0.514895926,1.279045968,1.378573482,-0.235869379,0.502080443,-0.002025884,-0.00137781,0.513647763
252234006,1.685012493,0.930758686,-0.056488457,0.232390548,-0.001515536,0.002038165,0.526186219,1.722917416,0.928043798,-0.070141758,0.235760994,-0.001723038,0.001862743,0.526053511
254632445,1.559085188,0.926176521,-0.140484207,0.559419866,-0.001859878,-0.000533406,0.516417317,1.565069342,0.926844385,-0.141809716,0.586463676,-0.002359775,-0.000457039,0.517594613
278773301,3.979771764,0.530232979,-0.237549103,0.661853077,-0.000847218,-0.007025491,0.519734999,4.015642988,0.507294501,-0.234426973,0.641647674,-0.001212753,-0.007445773,0.518119723
294041592,4.439039032,0.507075441,-0.13294947,0.217297637,-0.002378484,-0.001504707,0.513349841,4.473052011,0.481635777,-0.135205518,0.217234634,-0.002799905,-0.001167819,0.511519349
299760590,4.080924163,0.543090697,-0.291150318,0.463742352,-0.000763712,0.006720293,0.522619225,4.093445642,0.526040365,-0.27690482,0.451418924,-0.00096014,0.006998243,0.521980164
312902548,2.225164541,1.011786245,-0.182530834,0.310246434,-0.002344489,-0.001158183,0.519246885,2.234912354,1.007542164,-0.17612696,0.376522172,-0.003082342,-0.002028933,0.517761928
