subj_idx,stim_n,stim_weight,rt,response,condition
2884955,-3.004356061,7.401361628,3.551,1,0
2884955,-1.004356061,-8.848638372,6.396,0,0
2884955,-2.004356061,0.651361628,5.031,1,1
2884955,2.995643939,-7.598638372,3.31,0,1
2884955,-1.004356061,3.901361628,3.413,0,1
2884955,-0.004356061,-10.93197171,4.711,0,0
2884955,-2.004356061,-2.098638372,4.178,1,0
2884955,-0.004356061,12.40136163,1.378,1,0
2884955,0.995643939,3.901361628,3.122,1,0
2884955,-1.004356061,31.40136163,3.411,1,0
2884955,-1.004356061,1.734694961,3.655,0,1
2884955,0.995643939,-1.431971705,3.374,1,0
2884955,-0.004356061,4.734694961,4.778,1,0
2884955,-1.004356061,-12.76530504,3.176,0,0
2884955,0.995643939,-5.931971705,3.074,1,0
2884955,1.995643939,-14.34863837,5.204,1,1
2884955,-3.004356061,4.151361628,3.248,1,0
2884955,-2.004356061,-16.34863837,4.837,1,0
2884955,1.995643939,-1.598638372,1.662,1,1
2884955,-1.004356061,3.401361628,3.838,1,0
2884955,-1.004356061,8.234694961,3.341,0,1
2884955,1.995643939,3.401361628,1.842,0,1
2884955,-1.004356061,-10.09863837,3.263,0,0
2884955,0.995643939,-4.598638372,3.146,0,1
2884955,-2.004356061,3.901361628,4.65,0,1
2884955,-0.004356061,-1.098638372,1.795,0,1
2884955,-0.004356061,3.401361628,2.005,0,1
2884955,-0.004356061,14.40136163,1.565,1,1
2884955,-1.004356061,-3.765305039,3.321,1,0
2884955,-0.004356061,10.06802829,4.483,0,1
2884955,-1.004356061,3.901361628,2.804,0,1
2884955,-3.004356061,1.901361628,3.673,1,0
2884955,-0.004356061,5.901361628,1.405,1,0
2884955,-0.004356061,0.401361628,5,1,1
2884955,-3.004356061,11.15136163,3.221,1,0
2884955,-1.004356061,-15.26530504,3.19,0,1
2884955,-2.004356061,-16.26530504,1.207,0,1
2884955,-0.004356061,-4.098638372,1.557,0,0
2884955,2.995643939,18.20136163,6.38,1,1
2884955,-0.004356061,-11.93197171,4.532,0,0
2884955,1.995643939,5.401361628,4.494,1,1
2884955,-0.004356061,1.401361628,4.804,1,0
2884955,-0.004356061,-6.098638372,1.588,1,1
2884955,-1.004356061,-8.931971705,3.011,1,1
2884955,-1.004356061,-5.765305039,3.112,0,0
2884955,1.995643939,-5.598638372,2.139,0,0
2884955,-2.004356061,2.151361628,4.847,1,1
2884955,-1.004356061,-5.931971705,3.321,1,0
2884955,-2.004356061,-19.59863837,1.721,1,0
2884955,1.995643939,14.40136163,1.398,1,1
2884955,-0.004356061,2.401361628,2.33,0,0
2884955,0.995643939,17.40136163,3.554,0,0
2884955,0.995643939,-2.431971705,3.733,0,0
2884955,-4.004356061,-0.998638372,4.764,1,0
2884955,-1.004356061,23.73469496,2.971,0,1
2884955,-3.004356061,3.151361628,3.111,1,0
2884955,1.995643939,-22.09863837,4.556,0,0
2884955,-1.004356061,-3.431971705,5.962,0,0
2884955,-0.004356061,-6.931971705,4.859,1,1
2884955,-1.004356061,5.651361628,6.385,1,0
2884955,0.995643939,-10.26530504,3.289,1,0
2884955,-3.004356061,-1.848638372,3.261,1,0
2884955,0.995643939,-12.09863837,3.379,0,0
2884955,0.995643939,-0.431971705,3.134,0,0
2884955,0.995643939,16.40136163,3.214,1,1
2884955,0.995643939,-7.598638372,3.175,1,1
2884955,-3.004356061,-2.698638372,6.394,0,0
2884955,-0.004356061,-18.59863837,1.906,1,0
2884955,-1.004356061,-3.265305039,3.36,0,1
2884955,1.995643939,-4.931971705,1.471,0,0
2884955,-1.004356061,21.90136163,3.228,0,1
2884955,-2.004356061,3.401361628,2.306,1,0
3964964,-0.004356061,-0.598638372,1.768,0,1
3964964,-0.004356061,-3.598638372,1.772,1,0
3964964,-0.004356061,2.901361628,1.046,1,1
3964964,-2.004356061,11.06802829,1,0,1
3964964,-0.004356061,-12.59863837,2.064,1,0
3964964,-2.004356061,21.06802829,1.084,0,0
3964964,1.995643939,-6.931971705,2.122,1,0
3964964,-2.004356061,10.73469496,1.045,0,0
3964964,-0.004356061,10.40136163,2.208,1,1
3964964,1.995643939,-6.265305039,1.694,0,0
3964964,-0.004356061,-2.598638372,1.253,0,1
3964964,-2.004356061,-12.59863837,1.033,1,0
3964964,1.995643939,-2.265305039,1.67,1,1
3964964,-2.004356061,-10.26530504,1,1,1
3964964,1.995643939,1.734694961,1.71,0,1
3964964,-2.004356061,-13.93197171,1.079,1,1
3964964,-0.004356061,3.901361628,1.517,1,1
3964964,1.995643939,14.40136163,1.165,1,0
3964964,-0.004356061,-4.598638372,2.145,1,1
3964964,-0.004356061,12.40136163,1.255,0,1
3964964,-2.004356061,2.068028295,1.739,1,0
3964964,1.995643939,3.068028295,1.918,1,0
3964964,1.995643939,10.73469496,1.048,0,1
3964964,-0.004356061,-4.598638372,1.312,1,0
3964964,1.995643939,-13.26530504,1,1,0
3964964,-0.004356061,17.40136163,1.225,1,1
3964964,-2.004356061,4.068028295,1.157,0,0
3964964,1.995643939,24.40136163,1.043,1,0
3964964,-0.004356061,-9.098638372,1.024,1,1
3964964,1.995643939,19.06802829,1.064,1,1
3964964,-0.004356061,0.401361628,2.337,0,0
3964964,1.995643939,4.734694961,1.042,1,1
3964964,-0.004356061,15.90136163,1.181,1,1
3964964,1.995643939,-11.59863837,1.232,1,1
3964964,-0.004356061,-9.098638372,1.098,0,1
3964964,-0.004356061,-8.598638372,1.326,0,1
3964964,-0.004356061,-8.098638372,2.005,0,1
3964964,1.995643939,-15.26530504,1.112,0,1
3964964,0.995643939,-19.09863837,2.9,1,0
3964964,-2.004356061,6.401361628,1.165,1,0
3964964,1.995643939,-2.598638372,1.048,0,1
3964964,-0.004356061,0.401361628,1.377,1,1
3964964,-0.004356061,-2.098638372,1.295,0,0
3964964,-0.004356061,-1.598638372,1.719,1,1
3964964,-2.004356061,4.068028295,1,0,1
3964964,-0.004356061,1.901361628,1.446,1,1
3964964,-2.004356061,-0.931971705,1.004,0,1
3964964,-2.004356061,-11.59863837,1.087,0,0
3964964,-2.004356061,-6.598638372,1.13,1,1
3964964,-0.004356061,1.901361628,1.226,1,1
3964964,-2.004356061,-24.59863837,1.049,0,0
3964964,-2.004356061,-22.26530504,1.074,0,1
3964964,-0.004356061,11.40136163,1.104,1,0
3964964,1.995643939,-3.598638372,1.135,0,1
3964964,-0.004356061,-5.098638372,1.078,0,0
3964964,-0.004356061,0.401361628,1.039,1,0
3964964,1.995643939,-7.598638372,1.891,1,1
3964964,1.995643939,-7.265305039,1.146,1,0
3964964,-2.004356061,-4.931971705,1,0,0
3964964,-0.004356061,12.40136163,1,0,0
3964964,0.995643939,-6.431971705,3.02,0,0
3964964,-0.004356061,-12.59863837,1.343,0,0
3964964,-0.004356061,6.401361628,1,0,0
3964964,-0.004356061,-7.098638372,1.099,1,1
3964964,1.995643939,-17.59863837,1.24,0,1
3964964,1.995643939,10.06802829,1.045,0,0
3964964,1.995643939,14.73469496,1.253,1,1
3964964,-2.004356061,14.06802829,1.041,1,0
3964964,1.995643939,-4.265305039,1.155,1,0
3964964,-0.004356061,-4.598638372,1.048,0,0
3964964,-0.004356061,-9.098638372,1.167,1,0
12919430,-0.004356061,-10.93197171,4.935,1,0
12919430,-1.004356061,8.734694961,3.834,0,0
12919430,-0.004356061,1.901361628,1.919,0,0
12919430,0.995643939,5.151361628,6.312,0,0
12919430,-0.004356061,3.734694961,4.487,0,0
12919430,2.995643939,7.801361628,5.997,1,1
12919430,-0.004356061,-5.798638372,10.43,1,1
12919430,-0.004356061,1.401361628,4.435,0,0
12919430,-1.004356061,-12.26530504,3.261,0,1
12919430,2.995643939,-8.634352658,12.609,1,0
12919430,0.995643939,-1.598638372,2.647,0,0
12919430,0.995643939,3.568028295,3.005,0,0
12919430,-0.004356061,16.90136163,2.465,1,1
12919430,-0.004356061,11.40136163,2.003,1,1
12919430,-0.004356061,-0.848638372,7.849,0,0
12919430,-0.004356061,6.401361628,1.78,1,1
12919430,-4.004356061,2.234694961,7.903,1,1
12919430,1.995643939,-4.265305039,8.368,1,1
12919430,-5.004356061,-8.140305039,12.492,1,1
12919430,-4.004356061,8.568028295,7.885,1,1
12919430,-1.004356061,-5.515305039,6.499,1,1
12919430,0.995643939,1.734694961,2.702,0,0
12919430,-1.004356061,0.951361628,9.191,0,0
12919430,-3.004356061,-0.598638372,6.297,0,0
12919430,-5.004356061,3.443028295,12.502,0,0
12919430,-4.004356061,5.734694961,7.342,1,1
12919430,-0.004356061,-5.598638372,4.056,0,0
12919430,0.995643939,-0.765305039,3.69,1,1
12919430,0.995643939,-6.681971705,6.714,0,0
12919430,-2.004356061,1.401361628,11.414,1,0
12919430,-0.004356061,-12.39863837,10.873,1,0
12919430,-0.004356061,8.068028295,4.892,0,0
12919430,-1.004356061,0.734694961,3.999,0,0
12919430,-0.004356061,2.901361628,1.972,1,1
12919430,0.995643939,4.568028295,3.22,1,1
12919430,-0.004356061,16.40136163,1.771,1,1
12919430,-0.004356061,-8.931971705,5.356,0,0
12919430,-2.004356061,5.651361628,4.682,1,1
12919430,-1.004356061,-2.765305039,6.473,1,1
12919430,-2.004356061,-3.598638372,11.452,1,1
12919430,-4.004356061,-5.265305039,7.036,1,1
12919430,3.995643939,4.401361628,4.561,1,1
12919430,1.995643939,3.151361628,4.733,1,1
12919430,-4.004356061,11.60136163,4.847,1,1
12919430,1.995643939,-1.465305039,7.995,0,0
12919430,-3.004356061,-4.798638372,15.221,1,1
12919430,-0.004356061,0.068028295,4.738,1,1
12919430,-2.004356061,5.151361628,4.554,1,0
12919430,-5.004356061,0.687075914,9.68,0,0
12919430,-2.004356061,2.234694961,11.113,1,1
12919430,-0.004356061,-25.26530504,4.601,0,1
12919430,3.995643939,1.068028295,7.758,1,1
12919430,2.995643939,3.151361628,3.679,0,0
12919430,-1.004356061,5.984694961,6.457,1,1
12919430,0.995643939,4.734694961,6.113,0,0
12919430,1.995643939,19.65136163,4.693,0,0
12919430,-0.004356061,10.40136163,5.068,0,0
12919430,-1.004356061,-9.015305039,6.418,1,1
12919430,-3.004356061,8.401361628,2.931,0,0
12919430,0.995643939,1.401361628,3.314,1,1
12919430,1.995643939,20.40136163,1.987,0,0
12919430,-2.004356061,3.151361628,4.748,0,0
12919430,-4.004356061,0.068028295,7.887,0,0
12919430,0.995643939,6.901361628,3.469,0,0
12919430,-1.004356061,16.31802829,5.952,0,0
12919430,2.995643939,12.30136163,6.747,1,1
12919430,-2.004356061,13.90136163,4.976,1,1
12919430,-0.004356061,-0.265305039,4.836,0,0
12919430,-2.004356061,-11.34863837,4.479,0,1
12919430,-0.004356061,-3.265305039,4.777,0,0
12919430,-1.004356061,9.901361628,3.436,0,0
12919430,-0.004356061,10.90136163,1.985,1,1
12919430,-0.004356061,12.06802829,4.29,0,0
12919430,-6.004356061,-7.170066944,7.118,0,1
12919430,3.995643939,5.068028295,7.696,0,0
12919430,-0.004356061,-3.098638372,2.014,0,0
12919430,-2.004356061,9.901361628,4.675,0,0
