,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,3.048721254,0.235122191,2.608133463,2.889915088,3.039484527,3.202256476,3.544950569,0.004337702
a_std,2.790827493,0.28884703,2.241971206,2.590995028,2.782394552,2.979240877,3.390402696,0.012894726
a_subj.2884955,3.177341991,0.192510029,2.820690581,3.045807936,3.16884318,3.301480172,3.573552959,0.002246414
a_subj.3964964,1.206591619,0.083731102,1.050204408,1.147654771,1.203721523,1.260819407,1.381140639,0.001126307
a_subj.12919430,5.215222581,0.4530543,4.407723301,4.901185358,5.184202308,5.501933965,6.185939165,0.007706085
a_subj.34984274,3.353157015,0.200910996,2.984790974,3.215802244,3.343894156,3.482779664,3.77642506,0.002100469
a_subj.41833230,2.970442911,0.213666683,2.574371816,2.820752741,2.963171882,3.112271696,3.406376526,0.002785867
a_subj.43020357,1.653281057,0.099704773,1.468838791,1.583409493,1.649333604,1.716793456,1.862986175,0.001167534
a_subj.48595352,4.678638438,0.458691968,3.854392689,4.359142847,4.651209969,4.968427878,5.650372913,0.009597638
a_subj.48977487,1.888186353,0.157075052,1.586728855,1.78215314,1.886422525,1.993111162,2.204294711,0.002289664
a_subj.56470734,2.277371097,0.229434079,1.876222729,2.11508388,2.261565187,2.420153311,2.770609449,0.003587153
a_subj.74263281,3.477975273,0.235715082,3.046278775,3.313574202,3.469908855,3.629259773,3.969253237,0.002897107
a_subj.75969320,1.407046098,0.119950169,1.18214994,1.325325364,1.403070711,1.485285908,1.654838564,0.002168073
a_subj.92774005,3.858015567,0.269965273,3.359916896,3.672025926,3.849124212,4.033983519,4.411082076,0.003313617
a_subj.96226407,5.161316281,0.36017098,4.502524458,4.910810179,5.149082215,5.396168571,5.905461254,0.004272125
a_subj.97123322,0.677542523,0.040064553,0.604801111,0.649713153,0.675303642,0.703905598,0.761490232,0.00052222
a_subj.100416772,5.174757525,0.353616695,4.529813543,4.927435914,5.159205133,5.402029381,5.92351087,0.004401476
a_subj.102783161,1.144183247,0.067183438,1.021683672,1.097155354,1.141350701,1.188270694,1.285402588,0.000800579
a_subj.103303422,2.38E-08,2.38E-09,1.96E-08,2.21E-08,2.36E-08,2.52E-08,2.89E-08,2.45E-11
a_subj.120939072,3.186406039,0.240299694,2.735378233,3.022622011,3.180881634,3.341686079,3.678485365,0.003016451
a_subj.129490812,1.533906143,0.140890625,1.270318144,1.436490129,1.531482038,1.626900619,1.815751529,0.002119117
a_subj.130271607,0.683444183,0.039107108,0.611349154,0.656384974,0.681850912,0.709076425,0.764975423,0.00050197
a_subj.130941034,1.260969102,0.1021784,1.077045745,1.190953152,1.254494321,1.32493594,1.479993497,0.001691931
a_subj.134057190,4.259514038,0.290495811,3.716517687,4.061650365,4.250841035,4.452036058,4.849641602,0.003524401
a_subj.147547787,1.152800791,0.080996764,1.011284956,1.096268126,1.146299832,1.204529456,1.328312488,0.001063861
a_subj.148334112,4.174700552,0.300693963,3.615903622,3.965215718,4.161292996,4.36944928,4.805932289,0.003642103
