,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.775380158914447,0.20515608110158354,2.3975480649060654,2.633856962894567,2.770739434273569,2.90869649413366,3.212111836404227,0.0050166163089755056
a_std,2.452677555333803,0.22505398827827533,2.0477350389051563,2.296529005781229,2.440749544206713,2.592498983803741,2.935354187155705,0.006865763745705822
a_subj.2884955,2.111369207666869,0.15464633140776357,1.8276940152387993,2.0058240083948298,2.1024199927821394,2.207634007778723,2.4325504341930833,0.0025101445243038275
a_subj.3964964,1.1871624667416625,0.0889378992225613,1.0260365829809397,1.1249328250245125,1.1831993741135816,1.2442821684916607,1.3769227228635175,0.0016326274092781316
a_subj.12919430,4.181533669184798,0.26018924400463894,3.692823275570249,4.004993734512229,4.170811674015623,4.352533430753771,4.708822764749234,0.004656491241009407
a_subj.34984274,3.373898510961151,0.20206720221583563,3.0105689819249277,3.2342478428410404,3.365807663659841,3.5063712630039223,3.7894256311937076,0.0037120998351434786
a_subj.41833230,2.930528215099392,0.21313812480274472,2.529352792141869,2.7797364625302565,2.9261160572172993,3.070750285278186,3.3708781193556825,0.003873505524212179
a_subj.43020357,1.632789360766609,0.09853965000892716,1.4505321672389875,1.5619438128881158,1.6288433109954223,1.6972300448721827,1.8347683798872971,0.0015880270850009343
a_subj.48595352,4.324571957257916,0.4160084224600451,3.582461892150798,4.034759080195253,4.294579437932246,4.582245080671633,5.241203661499585,0.01085159903414282
a_subj.48977487,1.807331920855917,0.15475019142406365,1.5069590722889403,1.7013986030978232,1.8079259007203858,1.910561226942351,2.1163255540580095,0.002900154299744501
a_subj.56470734,2.395359351450816,0.2496362561634067,1.9561623744367505,2.215660920742019,2.3820320529146,2.5602902852957063,2.9139511131290683,0.00582347670894653
a_subj.74263281,3.3191762286215205,0.2097020131008793,2.939989681526539,3.17212318322304,3.3087956936688068,3.452712412077798,3.7758939683961614,0.003445882289391101
a_subj.75969320,1.483947002605808,0.12925856743232153,1.241838764130903,1.396980094424442,1.477527910789172,1.5680458091066023,1.7546518760168368,0.0024923694514159427
a_subj.92774005,3.627085784319156,0.23034768818258808,3.2003434054453472,3.4665284231576736,3.620458986530675,3.779427794420587,4.108096511774194,0.003960034280215491
a_subj.96226407,4.914084449197041,0.3304009105339141,4.291940442033842,4.689233998254817,4.90467015655817,5.1272872202479,5.58298972006509,0.005431361385935389
a_subj.97123322,0.6938237234503909,0.042389996897021075,0.6183433062159699,0.6637298055633369,0.69132929582057,0.7210559334471165,0.7841140746309287,0.0008758494222532189
a_subj.100416772,4.766782685707938,0.29915484795085967,4.234089466111771,4.554965962606035,4.756733919227897,4.957993912537068,5.407334774322045,0.004920193930631459
a_subj.102783161,1.1386387049953883,0.06896740183743146,1.0115156841963877,1.09066871120751,1.1358243868355524,1.1828763071811548,1.2848948954090154,0.001237767210769616
a_subj.103303422,2.3807464673325652e-08,2.429723974484118e-09,1.9525611869756814e-08,2.2068999672750823e-08,2.3646602730691505e-08,2.5366081380979372e-08,2.908729360348788e-08,3.4778582065483744e-11
a_subj.120939072,3.0061960788040483,0.23038763870279994,2.5784131104193078,2.850992886258543,2.9924663407484666,3.1599093636953364,3.477461948319988,0.004239170782584339
a_subj.129490812,1.6018730876791645,0.14051559754648726,1.330754595905778,1.5073904815095123,1.598652772764508,1.6949695466685042,1.8821085169492584,0.002922594331394753
a_subj.130271607,0.675454181646821,0.039704641131528086,0.6023965669444488,0.6482391943801752,0.6739064935228283,0.7006111165998871,0.7594835994586655,0.0007040369235325698
a_subj.130941034,1.2557610088928053,0.11063499772101666,1.0521613592053776,1.1814571440188744,1.2518411053644907,1.3253574126992256,1.4906164240916713,0.002348374182658115
a_subj.134057190,3.9705920039064075,0.2556217251913475,3.493142007556912,3.7941688091015653,3.9586159590604053,4.143933904468991,4.486813439545133,0.004262009449008571
a_subj.147547787,1.123209820134824,0.07528148804808708,0.9820306959023303,1.0733698279516584,1.1200877166714305,1.1698060298950201,1.2796262117896897,0.0012144184620410468
a_subj.148334112,3.7148807600826514,0.24175398799232206,3.2604227455873493,3.5468170987308474,3.7056675384129782,3.86700415172519,4.227178481638054,0.004183281977298722
a_subj.176326342,1.6209613656899184,0.14512928784636955,1.3466218236413368,1.5203179505617817,1.6154057345134596,1.7132221146860926,1.9266150520767602,0.002550065021429727
a_subj.189660560,6.674963228559408,0.8319281722100579,5.232206236776392,6.091511998754149,6.6288348428854285,7.1754890816482835,8.469835099792006,0.014049355727117971
a_subj.192065971,4.39642007373139,0.3407219341942322,3.810336027628439,4.158269693437987,4.359019234610404,4.606522494256233,5.151122018356756,0.008696441315280306
a_subj.218675715,3.559127896680012,0.23877857506586928,3.0453509485715835,3.419777917637348,3.56674590595961,3.7091581502758295,4.0050847009103325,0.01140815079190909
a_subj.224184422,3.5753457853124515,0.22353801028198053,3.1601397394354036,3.4211879951789794,3.5644227740930305,3.7251651631862104,4.038448148623307,0.004128147851178031
a_subj.224557592,3.3737248601919485,0.23293228139569283,2.9182499102233894,3.218338928169831,3.3680972435391503,3.5263126491921577,3.841984576181101,0.0038547488886960745
a_subj.245315813,4.13810420162385,0.2848407292092257,3.588283253863787,3.94374102641949,4.134840391612109,4.3319916947012285,4.703105623974648,0.00489592579911872
a_subj.251264572,5.334011272485969,0.4083079269219065,4.582435921075951,5.0558468020512946,5.317087794783493,5.601927208454724,6.170316798092438,0.0068217123328781545
a_subj.251653297,1.2690273232063916,0.07574263218338427,1.133946464487321,1.2167755948200623,1.265787412958924,1.3172164720012525,1.4292122083912968,0.0011881064721897246
a_subj.252234006,1.7251826084002773,0.1021603757418981,1.5334635480211134,1.6545921793562728,1.723858179495516,1.7916096793927114,1.932980600670319,0.0015506383639532335
a_subj.254632445,1.532204073160266,0.1065173673577366,1.3355013987386586,1.4601891864111785,1.5275016453140013,1.6003245955108438,1.753315322537901,0.0018981512112682282
a_subj.278773301,3.7235589342002577,0.24708757360248937,3.2608244365635706,3.5520874514975542,3.716195027406994,3.8867198139341483,4.229107230263331,0.00408884012161359
a_subj.294041592,4.488532616609541,0.27352496038632346,3.967629784010237,4.303836844478307,4.484080564866406,4.666352428750064,5.045300412060538,0.003951669663188045
a_subj.299760590,3.9387919154857007,0.23604747965201467,3.4967625891820804,3.772170993108497,3.9378811569446786,4.096560046861739,4.411893752155064,0.0038649572616122714
a_subj.312902548,2.221703148910555,0.13391669346151885,1.973348248723204,2.130574052995488,2.215779141436625,2.308709567777849,2.500749035463521,0.002286372727610767
a_subj.321769333,3.643741442055899,0.21232977182637292,3.254781083934142,3.4979374296641743,3.635936014709519,3.782389641345538,4.079921575803788,0.0033012805946045463
a_subj.324908376,4.44299986458963,0.28413573294040845,3.9094304599463494,4.2482738749227105,4.431797908422155,4.628303416094279,5.045656990429541,0.0046966588033894845
a_subj.331590088,2.7644951151692747,0.1727401796505552,2.442442312179327,2.645398286776911,2.7577312839483645,2.876520881514638,3.1281426715559126,0.0027358173023186738
a_subj.333010087,5.497378137075368,0.4107846738132094,4.772636718043645,5.207759834935636,5.474536590293918,5.761866306324736,6.391449460083098,0.007830836434032184
a_subj.334324861,6.433189644113697,1.7809839790824238,2.947134811199872,5.315757389171683,6.330021789658463,7.501866095681056,10.19803307026252,0.02979551488374199
a_subj.336172395,0.7036503198550251,0.043912703441574094,0.624337867720016,0.6721398248224321,0.7007012265047489,0.7320037215174675,0.797361182076562,0.0007563420745583945
a_subj.349171132,1.5835869106160603,0.10588140167177926,1.3933565646451518,1.5089715373124928,1.5794829327871807,1.6531765968279513,1.8064390004275204,0.0018279561831320526
a_subj.350745134,2.6426049803260008,0.176935779338635,2.309672718304986,2.515649992503814,2.637670619337972,2.7630390330662,2.9947726856687966,0.003431600695468208
a_subj.351777009,0.8561025853710873,0.05642928548370453,0.7501627453404556,0.8174793502322436,0.8540976856283113,0.892227093362511,0.9717372023606882,0.000982254568114733
a_subj.355043712,4.350394315775276,0.263897443750176,3.8582514357775315,4.166847734718452,4.34426689221084,4.515695825412478,4.901558442582931,0.004509579689107696
a_subj.367119634,2.217130161184076,0.13088183386829086,1.9718325457811652,2.124109453798404,2.2147106044534066,2.301631150900523,2.4890831995506812,0.0020449530819212415
a_subj.374844073,3.3410987198480626,0.2559663519641079,2.857138064806988,3.16750674816251,3.342529328937445,3.5111797215475034,3.840922742809266,0.005728061726470323
a_subj.374999420,4.290394330659304,0.278165700861106,3.754646916916527,4.100239032829174,4.288618267964279,4.470295487610126,4.870608728375392,0.004210760850008698
a_subj.394422911,4.2642326161313235,0.27836445168101803,3.7507739330693854,4.075581122685777,4.252073324441527,4.445431804666077,4.861790017183543,0.0053030057621845745
